Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0001,14,0,16.30
0.0182,14,0,16.30
0.0363,14,0,16.30
0.0540,14,0,16.30
0.0715,14,0,16.30
0.0889,14,0,16.30
0.1063,16,0,16.34
0.1238,16,0,16.35
0.1418,304,0,25.53
0.1595,320,0,27.77
0.1775,334,0,27.75
0.1949,350,0,27.84
0.2129,364,0,27.85
0.2306,380,0,27.82
0.2481,394,0,27.89
0.2658,408,0,27.85
0.2832,424,0,27.91
0.3006,438,0,27.89
0.3179,452,0,27.89
0.3353,468,0,27.89
0.3530,574,0,29.33
0.3707,574,0,27.89
0.3888,574,0,27.83
0.4070,574,0,27.74
0.4247,784,0,27.99
0.4428,784,83,57.63
0.4602,822,80,58.02
0.4783,822,81,57.62
0.4965,822,81,57.98
0.5143,822,81,57.36
0.5321,822,81,57.10
0.5502,822,81,56.75
0.5680,866,79,55.58
0.5855,912,81,58.49
0.6030,912,83,58.32
0.6207,948,83,61.15
0.6384,988,84,58.88
0.6559,988,82,58.41
0.6737,1036,83,60.22
0.6918,1070,88,61.53
0.7093,1070,83,62.75
0.7267,1140,86,62.88
0.7448,1164,84,62.68
0.7623,1164,88,62.64
0.7798,1210,87,62.61
0.7972,1210,85,63.94
0.8147,1226,87,63.67
0.8321,1226,88,64.99
0.8496,1256,88,62.21
0.8674,1256,87,64.43
0.8848,1350,89,65.83
0.9026,1350,90,65.67
0.9201,1340,89,64.37
0.9375,1340,87,64.02
0.9551,1410,88,64.41
0.9725,1410,88,66.22
0.9900,1382,90,64.88
1.0075,1382,90,66.27
1.0250,1430,90,66.72
1.0425,1432,89,67.15
1.0600,1432,90,65.28
1.0774,1456,89,68.24
1.0949,1456,89,66.28
1.1124,1464,90,68.72
1.1299,1464,91,68.24
1.1474,1494,89,67.16
1.1649,1494,89,64.10
1.1824,1494,90,67.84
1.1998,1536,90,68.16
1.2173,1536,90,68.12
1.2351,1558,89,68.13
1.2526,1558,91,67.19
1.2704,1558,90,68.58
1.2879,1642,91,67.34
1.3057,1642,91,67.29
1.3235,1648,91,67.81
1.3413,1650,92,66.76
1.3588,1650,91,67.36
1.3763,1642,92,69.43
1.3937,1642,93,68.49
1.4115,1642,93,69.83
1.4290,1706,91,69.54
1.4465,1706,91,68.78
1.4639,1864,91,69.46
1.4813,1498,91,67.76
1.4988,1498,90,68.67
1.5163,1538,88,70.05
1.5337,1538,92,69.46
1.5515,1524,90,70.16
1.5692,1524,89,72.39
1.5869,1524,89,72.63
1.6043,1526,88,71.00
1.6218,1526,89,67.33
1.6396,1534,92,70.50
1.6574,1534,90,72.01
