Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,408,1,8.78
0.0177,408,0,8.91
0.0351,408,0,8.76
0.0527,408,0,8.73
0.0700,408,5,8.87
0.0873,408,16,9.00
0.1047,408,0,9.12
0.1222,549,8,11.77
0.1398,631,0,37.29
0.1573,691,0,37.23
0.1746,831,2,37.31
0.1919,971,2,37.38
0.2095,1111,2,37.42
0.2268,1151,0,37.37
0.2441,1271,5,16.21
0.2614,1391,5,9.70
0.2787,1431,0,9.75
0.2960,1571,11,9.89
0.3133,1691,10,9.84
0.3306,1811,4,9.81
0.3482,1871,0,9.42
0.3657,1971,0,9.41
0.3831,2051,0,9.43
0.4004,2131,0,9.18
0.4177,2271,9,9.70
0.4350,2351,6,9.65
0.4524,2491,11,9.69
0.4699,2511,7,9.05
0.4875,2591,0,9.07
0.5048,2731,4,9.33
0.5223,2831,5,9.23
0.5399,2931,4,9.24
0.5572,3051,5,9.80
0.5745,3171,10,9.48
0.5919,3311,13,10.27
0.6092,3371,5,10.62
0.6267,3392,6,9.98
0.6442,3408,20,11.13
0.6615,3468,0,22.22
0.6789,3740,1,37.24
0.6964,4248,99,104.54
0.7137,4360,99,120.66
0.7311,4360,99,120.69
0.7484,4360,99,121.14
0.7657,4360,99,121.11
0.7830,4360,100,121.18
0.8004,4360,99,121.54
0.8179,4360,99,122.20
0.8353,4360,99,122.24
0.8526,4360,99,121.95
0.8699,4360,99,122.24
0.8872,4360,99,123.12
0.9046,4360,99,123.06
0.9219,4360,99,123.12
0.9392,4360,99,123.65
0.9566,4360,99,123.67
0.9739,4360,99,123.62
0.9912,4360,99,124.44
1.0085,4360,99,124.29
1.0259,4360,99,124.87
1.0432,4360,99,124.35
1.0605,4360,99,124.93
1.0778,4360,99,124.51
1.0952,4360,99,125.62
1.1125,4360,98,125.05
1.1300,4360,98,125.58
1.1473,4360,99,125.79
1.1646,4360,99,125.47
1.1819,4360,99,126.11
1.1994,4360,99,126.09
1.2168,4360,99,125.88
1.2343,4360,99,126.18
1.2516,4360,99,126.48
1.2689,4360,99,127.13
1.2864,4360,99,127.24
1.3037,4360,98,126.46
1.3211,4360,99,127.63
1.3384,4360,99,127.51
1.3559,4360,99,127.92
1.3732,4360,99,127.62
1.3905,4360,98,127.13
1.4081,4360,99,127.98
1.4254,4360,98,128.27
1.4427,4360,99,128.40
1.4600,4360,98,128.36
1.4773,4360,98,128.77
1.4948,4360,99,129.00
1.5121,4360,99,128.51
1.5294,4360,99,129.09
1.5468,4360,99,129.27
1.5641,4360,98,128.20
1.5814,4360,99,128.83
1.5987,4134,99,121.20
1.6160,4134,99,129.18
1.6333,4134,98,129.65
1.6507,4134,99,129.71
1.6680,4224,99,129.85
1.6853,4224,99,130.53
1.7026,4224,99,130.23
1.7199,4224,99,130.74
1.7373,4208,98,128.35
1.7546,4312,99,130.62
1.7719,4414,99,130.43
1.7892,4414,99,130.95
1.8066,4414,99,130.40
1.8239,4414,99,130.30
1.8412,4414,99,130.51
1.8585,4010,89,129.65
1.8759,4206,99,129.08
1.8932,4314,99,130.49
1.9105,4314,99,131.65
1.9278,4314,99,130.99
1.9452,4314,99,131.22
1.9625,4314,99,131.67
1.9798,4314,99,130.58
1.9971,4278,98,130.60
2.0145,4278,99,131.52
2.0318,4278,99,131.68
2.0491,4278,99,132.04
2.0665,4278,99,131.99
2.0838,4278,99,132.45
2.1011,4278,99,133.16
2.1184,4144,99,132.24
2.1358,4144,98,132.26
2.1531,4262,99,134.91
2.1704,4262,99,134.17
2.1877,4262,99,134.12
2.2051,4262,98,133.63
2.2224,4262,99,133.55
2.2397,4262,99,133.51
2.2570,4582,99,133.52
2.2744,4702,98,134.16
2.2917,4702,99,134.81
2.3090,4702,99,135.24
2.3263,4702,99,135.10
2.3437,4702,99,134.12
2.3610,4702,99,134.65
2.3783,4408,99,133.99
2.3956,4664,98,133.47
2.4130,4664,99,135.70
2.4303,4664,99,134.85
2.4476,4664,99,136.19
2.4650,4664,99,136.11
2.4823,4664,99,137.17
2.4996,4664,99,134.95
2.5169,4542,99,135.19
2.5343,4672,99,135.76
2.5516,4806,99,136.54
2.5689,4806,99,136.25
2.5862,4806,99,136.32
2.6035,4806,99,137.91
2.6208,4806,99,136.34
2.6382,4806,99,136.90
2.6555,4810,99,134.47
2.6728,4948,99,135.90
2.6903,4948,98,135.17
2.7076,4948,99,136.36
2.7250,4948,99,138.14
2.7423,4948,99,135.75
2.7598,4948,99,137.42
2.7772,4552,99,136.60
2.7945,4700,99,136.08
2.8118,4700,99,137.10
2.8291,4700,99,136.15
2.8464,4700,99,136.46
2.8638,4700,99,136.66
2.8811,4700,99,136.58
2.8984,4700,99,137.75
2.9157,4782,99,137.48
2.9331,5172,98,136.11
2.9504,5322,99,137.65
2.9677,5322,99,137.91
2.9851,5322,99,138.35
3.0024,5322,99,137.87
3.0197,5322,99,136.00
3.0370,5322,99,137.59
3.0543,4840,99,137.08
3.0717,4842,99,139.12
3.0890,4842,99,139.23
