Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,14,0,16.91
0.0176,14,0,16.85
0.0351,14,0,16.84
0.0532,16,0,17.16
0.0703,924,21,25.51
0.0878,1692,0,29.11
0.1052,2460,0,29.18
0.1232,3484,0,29.15
0.1407,4252,21,28.98
0.1584,5020,21,29.02
0.1758,5788,0,29.06
0.1932,6556,0,29.26
0.2111,7580,5,29.19
0.2287,8348,16,29.17
0.2464,9116,21,29.09
0.2638,9884,0,29.22
0.2812,10652,0,29.15
0.2990,11676,10,29.18
0.3166,12444,21,29.14
0.3341,13212,0,28.92
0.3519,14236,21,29.41
0.3693,15004,0,29.50
0.3870,16028,1,29.65
0.4044,16796,0,29.32
0.4218,17820,5,29.07
0.4392,18588,0,29.30
0.4567,19612,0,29.09
0.4741,20380,0,29.00
0.4915,21404,21,29.34
0.5094,22172,16,29.64
