Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,307,0,8.33
0.0175,307,0,8.34
0.0348,307,4,8.40
0.0521,595,1,14.10
0.0697,1221,3,36.86
0.0873,1821,0,36.87
0.1049,2447,12,36.92
0.1227,3121,12,36.91
0.1400,3721,12,36.90
0.1574,4321,23,35.40
0.1749,4921,0,14.28
0.1922,5421,36,11.18
0.2098,5947,42,10.58
0.2277,6521,12,10.51
0.2450,7021,8,10.21
0.2626,7621,42,10.59
0.2799,8147,22,10.44
0.2978,8721,0,10.26
0.3153,9221,19,10.09
0.3327,9747,1,10.21
0.3502,10321,39,10.25
0.3676,10821,42,10.32
0.3854,11421,38,10.34
0.4027,11921,43,10.41
0.4206,11947,41,10.13
0.4379,11947,44,9.99
0.4553,11947,25,10.27
0.4731,11947,1,10.06
0.4904,11947,33,10.09
0.5077,11947,44,10.08
0.5253,11949,43,10.17
0.5432,11949,32,10.16
0.5605,11949,37,9.93
0.5778,11949,0,9.84
0.5951,11949,24,9.69
0.6125,11947,37,9.81
0.6300,11947,45,10.12
0.6476,11947,1,9.68
0.6649,11917,16,9.52
