Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0001,14,0,16.31
0.0178,14,0,16.31
0.0356,14,0,16.30
0.0531,31,0,17.26
0.0707,1430,11,27.98
0.0882,2752,11,28.08
0.1056,4120,8,28.07
0.1240,5462,9,28.06
0.1415,6758,8,28.08
0.1590,8080,11,28.20
0.1766,9494,8,28.09
0.1945,10888,8,28.22
0.2125,12046,12,30.60
0.2299,12046,0,30.22
0.2473,12046,0,27.65
0.2647,13172,100,64.91
0.2824,13792,100,62.90
0.2998,14172,99,62.39
0.3172,14172,100,65.40
0.3347,14172,100,62.22
0.3521,14172,99,63.01
0.3696,14172,100,60.31
0.3870,14172,100,66.02
0.4044,14172,100,64.18
0.4218,14172,100,61.90
0.4395,14172,100,63.50
0.4569,14172,100,60.04
0.4744,14172,99,61.02
0.4917,14172,100,61.92
0.5092,14172,100,60.90
0.5265,14172,100,60.68
0.5440,14172,100,61.72
0.5614,14172,100,62.67
0.5788,14172,100,69.20
0.5963,14172,99,61.45
0.6137,14172,100,67.00
0.6314,14172,100,64.32
0.6488,14172,100,61.90
0.6662,14172,100,66.33
0.6836,14172,100,62.88
0.7010,14172,100,64.49
0.7184,14172,100,64.63
0.7359,14172,100,68.91
0.7533,14172,100,65.54
0.7707,14172,100,68.26
0.7882,14172,100,64.33
0.8056,14172,100,64.86
0.8230,14172,99,66.49
0.8404,14172,100,63.48
0.8579,14172,100,65.49
0.8754,14172,100,65.62
0.8928,14172,100,66.42
0.9102,14172,100,66.15
0.9276,14172,100,65.55
0.9450,14172,100,65.50
0.9624,14172,99,64.41
0.9798,14172,99,64.36
0.9972,14172,100,68.35
1.0149,14172,100,67.41
1.0324,14172,99,67.51
1.0498,14172,99,63.88
1.0672,14172,100,65.94
1.0846,14172,100,66.78
1.1024,14172,99,64.21
1.1201,14172,100,66.59
1.1375,14172,100,65.81
1.1549,14172,100,67.56
1.1723,14172,100,66.36
1.1897,14172,100,66.43
1.2071,14172,100,66.82
1.2245,14172,100,68.49
1.2419,14172,100,65.04
1.2594,14172,100,67.49
1.2768,14172,100,66.46
1.2942,14172,100,65.45
1.3116,14172,100,70.46
1.3290,14172,100,68.44
1.3465,14172,100,64.51
1.3639,14172,100,67.45
1.3816,14172,100,68.22
1.3993,14172,99,63.44
1.4167,14172,100,70.86
1.4342,14172,99,66.18
1.4516,14172,100,66.37
1.4690,14172,100,66.35
1.4865,14172,100,67.71
1.5039,14172,100,68.68
1.5213,14172,100,68.33
1.5390,14172,99,68.31
1.5564,14172,100,67.52
1.5738,14172,100,66.89
1.5912,14172,100,67.52
1.6086,14172,100,69.88
1.6260,14172,100,65.74
1.6434,14172,100,70.27
1.6609,14172,99,69.36
1.6783,14172,99,64.03
1.6957,14172,100,68.52
1.7131,14172,100,66.84
1.7309,14172,100,68.56
1.7483,14172,100,66.00
1.7657,14172,100,68.78
1.7831,14172,100,65.61
1.8005,14172,100,66.31
1.8179,14172,100,68.83
1.8353,14172,99,70.17
1.8527,14172,100,65.90
1.8701,14172,100,68.79
1.8876,14172,99,66.44
