Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,415,0,8.63
0.0175,415,0,8.77
0.0348,415,10,8.83
0.0521,737,2,9.01
0.0695,929,0,37.02
0.0873,1057,0,37.07
0.1047,1249,0,37.02
0.1223,1377,0,37.03
0.1396,1569,7,37.08
0.1569,1697,0,36.72
0.1743,1889,0,12.90
0.1916,2017,1,9.31
0.2089,2209,29,9.30
0.2262,2401,0,9.13
0.2436,2529,0,9.19
0.2609,2721,0,9.00
0.2782,2849,0,9.37
0.2955,3041,0,9.16
0.3129,3233,0,9.42
0.3306,3361,10,9.34
0.3481,3553,1,9.57
0.3655,3745,28,9.56
0.3833,3873,0,9.19
0.4009,4065,21,9.48
0.4182,4193,0,9.28
0.4357,4385,14,9.23
0.4531,4577,3,8.95
0.4704,4705,0,9.42
0.4877,4897,28,9.47
0.5050,5089,1,9.32
0.5223,5217,1,9.10
0.5396,5345,27,9.40
0.5572,5537,0,9.16
0.5746,5665,22,9.31
0.5921,5857,0,9.33
0.6094,6049,24,9.11
0.6268,6177,0,9.20
0.6441,6369,0,9.28
0.6614,6561,2,9.00
0.6790,6689,0,9.19
0.6966,6881,0,8.95
0.7141,7073,0,9.18
0.7317,7201,27,9.21
0.7490,7393,0,9.33
0.7666,7585,0,9.27
0.7839,7713,0,8.99
0.8012,7905,1,9.02
0.8185,8097,2,8.94
0.8359,8225,0,9.12
0.8532,8417,22,9.29
0.8707,8561,0,9.31
0.8886,8737,28,9.27
0.9059,8929,0,9.16
0.9234,9057,28,9.20
0.9407,9185,0,8.95
0.9581,9313,1,9.02
0.9754,9505,0,9.35
0.9927,9633,0,8.97
1.0100,9825,0,8.97
1.0274,9953,0,9.31
1.0447,10145,0,8.96
1.0623,10273,0,9.16
1.0796,10465,8,9.04
1.0969,10657,1,9.12
1.1145,10785,27,9.15
1.1318,10977,0,9.31
1.1491,11105,0,9.05
1.1664,11297,0,9.27
1.1838,11425,0,9.17
1.2011,11617,3,9.32
1.2184,11815,0,9.61
1.2357,11979,99,18.15
1.2530,11985,100,64.95
1.2704,11985,100,73.25
1.2879,11985,98,73.31
1.3053,11985,99,71.35
1.3226,11985,100,68.11
1.3399,11985,100,67.08
1.3572,11985,100,66.89
1.3748,11985,100,68.18
1.3921,11985,100,67.61
1.4095,11985,100,66.28
1.4268,11985,100,67.68
1.4441,11985,100,69.05
1.4614,11985,100,67.25
1.4790,11985,100,68.71
1.4963,11985,100,66.76
1.5138,11985,100,70.29
1.5312,11985,100,71.47
1.5485,11985,100,77.10
1.5658,11985,98,72.78
1.5831,11985,100,72.04
1.6004,11985,100,70.47
1.6178,11985,100,69.88
1.6351,11985,100,68.32
1.6524,11985,100,67.97
1.6697,11985,1,70.95
