Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,276,0,7.88
0.0173,276,0,7.98
0.0346,276,7,8.10
0.0519,937,11,11.01
0.0693,1755,8,36.05
0.0869,2619,7,36.10
0.1042,3411,7,36.17
0.1215,4249,10,36.35
0.1391,5067,8,36.42
0.1566,5859,14,26.53
0.1742,6625,17,12.70
0.1918,7345,24,11.09
0.2094,8019,25,10.70
0.2269,8713,26,10.79
0.2442,9387,29,10.70
0.2618,10081,26,10.73
0.2794,10755,24,10.56
0.2967,11355,30,10.59
0.3140,12055,43,29.56
0.3313,12055,100,92.35
0.3487,12055,100,99.38
0.3660,12055,100,104.99
0.3836,12061,100,102.42
0.4009,12063,100,103.46
0.4182,12063,100,105.52
0.4355,12063,100,64.25
0.4528,12063,100,55.10
0.4702,12063,100,54.83
0.4875,12063,100,54.88
0.5048,12063,100,55.00
0.5221,12063,100,54.91
0.5395,12063,100,55.03
0.5568,12063,100,54.99
0.5741,12063,100,55.12
0.5914,12063,100,55.12
0.6087,12063,100,55.21
0.6261,12063,100,55.15
0.6434,12063,100,55.18
0.6607,12063,100,55.16
0.6781,12063,100,55.28
0.6954,12063,100,55.25
0.7127,12063,100,55.18
0.7300,12063,100,55.18
0.7474,12063,100,55.18
0.7647,12063,100,55.21
0.7820,12063,100,55.24
0.7993,12063,100,55.21
0.8166,12063,100,55.23
0.8340,12063,100,55.19
0.8513,12063,100,55.21
0.8686,12063,100,55.14
0.8859,12063,100,55.29
0.9033,12063,100,55.30
0.9208,12063,100,55.39
0.9381,12063,100,55.31
0.9554,12063,100,55.31
0.9728,12063,100,55.33
0.9901,12063,100,55.40
1.0074,12063,100,55.52
1.0248,12063,100,55.40
1.0421,12063,100,55.42
1.0594,12063,100,55.44
1.0767,12063,100,55.31
1.0943,12063,100,55.20
1.1116,12063,100,55.12
1.1290,12063,98,91.61
1.1463,12063,100,104.40
1.1636,12063,100,104.31
1.1809,12063,100,105.87
1.1982,12063,100,105.27
1.2155,12063,99,103.87
1.2329,12063,100,103.86
1.2502,12063,100,107.58
1.2675,12063,100,108.11
1.2848,12063,100,102.87
1.3021,12063,100,105.03
1.3197,12063,100,103.97
1.3370,12063,100,111.36
1.3543,12063,100,103.57
1.3719,12063,100,104.17
1.3892,12063,100,60.32
1.4065,12063,100,55.84
1.4238,12063,100,55.82
1.4412,12063,100,55.83
1.4585,12063,100,55.80
1.4758,12063,100,55.84
1.4932,12063,100,55.90
1.5105,12063,100,55.88
1.5278,12063,100,55.91
1.5451,12063,100,55.96
1.5625,12063,100,55.97
1.5798,12063,100,55.87
1.5971,12063,100,55.81
1.6146,12063,100,55.85
1.6320,12063,100,55.88
1.6495,12063,100,55.89
1.6668,12063,100,55.90
1.6841,12063,100,55.89
1.7017,12063,100,55.90
1.7190,12063,100,55.92
1.7363,12063,100,55.94
1.7536,12063,100,55.95
1.7709,12063,100,55.90
1.7882,12063,100,55.89
1.8055,12063,100,55.87
1.8228,12063,100,55.89
1.8402,12063,100,55.90
1.8575,12063,100,55.96
1.8748,12063,100,55.97
1.8922,12063,100,55.95
1.9095,12063,100,55.96
1.9268,12063,100,55.92
1.9441,12063,100,55.87
1.9615,12063,100,55.88
1.9788,12063,100,55.89
1.9961,12063,100,55.91
2.0134,12063,100,55.90
2.0307,12063,100,55.86
2.0481,12063,100,55.94
2.0654,12063,100,55.89
2.0827,12063,100,55.86
2.1000,12063,100,55.85
2.1174,12063,100,55.86
2.1347,12063,100,55.83
2.1520,12063,100,55.90
2.1694,12063,100,55.88
2.1867,12063,100,72.83
2.2042,12063,100,104.54
2.2216,12063,99,107.76
2.2389,12063,100,104.23
2.2562,12063,98,105.13
2.2735,12063,100,104.63
2.2909,12063,99,107.96
2.3082,12063,100,107.30
2.3257,12063,100,106.17
2.3431,12063,100,108.91
2.3606,12063,100,104.68
2.3780,12063,100,107.01
2.3953,12063,100,108.48
2.4128,12063,100,106.11
2.4301,12063,99,109.24
2.4474,12071,52,106.43
2.4647,12071,100,101.17
2.4823,12071,99,109.19
2.4996,12071,100,107.73
2.5170,12071,99,106.21
2.5345,12071,100,107.02
2.5519,12071,100,107.68
2.5692,12071,99,105.71
2.5865,12071,99,109.77
2.6039,12071,100,107.17
2.6215,12071,100,106.91
2.6388,12071,99,108.46
2.6561,12071,100,107.81
2.6734,12071,99,110.73
2.6908,12071,100,110.69
2.7081,12071,100,106.88
2.7254,12071,100,107.68
2.7430,12071,100,107.65
2.7603,12071,100,107.82
2.7776,12071,100,107.58
2.7949,12071,100,107.70
2.8124,12071,100,107.77
2.8298,12071,99,108.20
2.8471,12071,100,107.99
2.8644,12071,100,108.06
2.8817,12071,100,108.22
2.8991,12071,100,107.43
2.9164,12071,100,108.51
2.9337,12071,100,108.22
2.9510,12071,100,107.56
2.9684,12071,99,108.38
2.9857,12071,99,112.26
