Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,499,0,9.40
0.0174,479,7,9.61
0.0347,485,7,10.54
0.0521,669,12,10.84
0.0696,671,1,32.21
0.0871,695,0,37.28
0.1045,697,1,37.31
0.1219,739,1,37.42
0.1395,736,0,37.47
0.1567,740,0,37.37
0.1740,762,0,22.42
0.1914,766,4,10.60
0.2089,774,4,8.78
0.2263,770,2,9.55
0.2439,768,0,8.70
0.2614,770,2,9.31
0.2788,763,17,9.42
0.3876,796,2,8.80
0.4051,795,1,8.65
0.4226,795,2,8.84
0.4399,795,2,8.76
0.4573,788,2,8.87
0.4748,781,0,8.78
0.4923,781,1,9.01
0.5098,781,2,8.76
0.5271,803,1,8.84
0.5444,805,0,8.87
0.5617,807,2,8.74
0.5792,807,0,8.64
0.5967,821,11,9.41
0.6141,825,0,10.87
0.6314,825,0,8.53
0.6490,831,10,9.36
0.6665,832,4,8.74
0.6865,854,2,8.60
0.7039,857,3,8.75
0.7212,856,2,8.67
0.7386,856,0,8.54
0.7561,844,2,8.57
0.7744,834,1,8.70
0.7918,832,0,8.61
0.8141,832,0,8.59
0.8316,832,0,8.62
0.8643,834,0,8.70
0.8817,858,0,8.81
0.8992,860,2,8.82
0.9167,884,4,8.82
0.9340,886,0,8.82
0.9515,890,1,8.78
0.9688,912,0,8.82
0.9861,914,0,8.73
1.0035,938,0,8.79
1.0208,940,0,8.80
1.0383,942,2,8.72
1.0558,964,3,8.75
1.0733,968,0,8.66
1.0909,968,0,8.61
1.1083,970,0,8.41
1.1257,972,0,8.58
1.1431,972,0,8.62
1.1604,994,0,8.73
1.1780,988,0,18.78
1.1954,986,0,37.34
1.2128,988,1,32.89
1.2303,1010,0,12.81
1.2478,1012,0,8.68
1.2651,1012,0,8.75
1.2825,1012,0,8.58
1.2999,1012,0,8.59
1.3174,1012,2,8.64
1.3347,1012,0,8.68
1.3645,1012,0,8.62
1.3818,1008,0,8.70
1.4114,1008,0,8.51
1.4294,1004,0,8.52
1.4532,1004,0,8.53
1.4743,1004,0,8.55
1.4944,1004,0,8.51
1.5136,1006,0,8.72
1.5309,1028,3,8.78
1.5485,1032,0,8.70
1.5658,1034,2,8.81
1.5833,1034,0,8.70
1.6049,1056,0,8.71
1.6224,1056,0,8.57
1.6399,1056,0,8.68
1.8444,1105,1,8.92
1.8618,1105,2,8.73
1.8792,1107,17,9.26
1.8967,1108,11,10.23
1.9140,1125,20,11.35
1.9316,1112,6,10.87
1.9490,1116,5,10.61
