Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,270,1,8.17
0.0187,270,0,8.14
0.0362,270,0,7.96
0.0537,270,0,8.09
0.0712,270,0,8.01
0.0885,270,0,8.18
0.1059,270,0,7.85
0.1232,375,0,8.02
0.1405,457,2,25.55
0.1581,467,0,36.76
0.1754,475,1,36.83
0.1927,487,0,36.82
0.2100,497,0,36.82
0.2273,509,0,36.87
0.2446,515,0,31.78
0.2620,527,2,13.11
0.2793,535,3,8.87
0.2966,547,3,8.84
0.3139,557,4,8.87
0.3312,567,2,8.87
0.3485,579,3,8.97
0.3659,587,3,8.94
0.3834,599,2,8.98
0.4009,609,4,10.13
0.4182,663,0,11.70
0.4355,689,2,10.19
0.4528,814,78,22.36
0.4702,814,77,88.64
0.4877,814,83,94.79
0.5050,814,82,95.13
0.5223,814,81,94.69
0.5397,814,80,94.96
0.5570,814,80,94.82
0.5743,834,80,94.54
0.5916,842,81,89.59
0.6092,854,81,94.11
0.6265,854,80,94.52
0.6438,862,81,96.39
0.6611,876,81,96.32
0.6784,910,81,97.57
0.6957,936,82,98.59
0.7130,938,76,100.67
0.7303,964,82,100.53
0.7476,964,83,102.21
0.7650,974,84,100.88
0.7823,980,84,102.64
0.7996,1010,85,104.63
0.8169,1010,83,104.33
0.8342,1038,86,103.52
0.8516,1058,84,102.57
0.8689,1058,85,104.08
0.8862,1058,87,107.06
0.9035,1066,86,106.58
0.9209,1076,86,107.08
0.9382,1076,86,108.13
0.9555,1108,85,107.96
0.9728,1120,87,107.11
0.9901,1120,87,109.00
1.0074,1122,87,108.47
1.0248,1130,85,109.29
1.0421,1130,88,109.05
1.0594,1156,84,107.84
1.0767,1150,88,107.51
1.0940,1150,86,107.45
1.1114,1184,88,108.02
1.1287,1190,87,110.51
1.1460,1190,87,109.00
1.1633,1082,89,108.27
1.1806,1082,88,108.14
1.1979,1098,87,108.51
1.2153,1098,87,111.38
1.2326,1056,86,109.27
1.2502,1146,87,107.03
1.2675,1146,87,110.20
1.2850,1100,90,110.79
1.3023,1150,80,109.72
1.3196,1150,86,108.82
1.3369,1100,88,109.45
1.3542,1150,88,110.24
1.3715,1134,88,108.09
1.3891,1166,90,110.89
1.4064,1166,88,112.37
1.4237,1166,88,110.65
1.4413,1328,88,111.33
1.4586,1166,87,111.88
1.4759,1176,89,111.47
1.4932,1176,88,111.78
1.5106,1180,88,110.61
1.5279,1180,89,114.08
1.5452,1190,89,111.72
1.5625,1218,87,111.34
1.5799,1218,89,113.65
1.5972,1236,82,113.04
