Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,14,0,16.40
0.0176,14,0,16.39
0.0350,14,0,16.40
0.0525,16,0,16.69
0.0696,332,1,22.82
0.0870,394,1,27.83
0.1044,476,1,27.90
0.1217,538,1,27.91
0.1394,620,1,27.93
0.1568,702,1,27.93
0.1742,764,1,27.96
0.1915,846,1,27.95
0.2093,908,1,28.00
0.2266,990,1,27.98
0.2440,1116,0,28.16
0.2618,1116,0,27.92
0.2798,1394,91,33.98
0.2972,1394,91,64.55
0.3146,1394,92,64.81
0.3320,1394,92,64.91
0.3496,1394,90,64.83
0.3670,1394,90,64.92
0.3844,1394,90,64.57
0.4024,1394,88,66.00
0.4198,1394,91,65.35
0.4379,1394,90,65.53
0.4553,1394,90,65.70
0.4726,1394,89,65.23
0.4900,1394,90,65.68
0.5074,1448,91,65.23
0.5248,1448,90,66.57
0.5422,1490,90,66.27
0.5599,1490,90,65.82
0.5773,1534,91,67.51
0.5947,1534,91,67.55
0.6121,1592,92,68.09
0.6295,1592,92,67.72
0.6470,1686,91,68.42
0.6647,1686,90,71.25
0.6823,1726,91,69.16
0.6998,1728,92,69.65
0.7172,1728,92,69.22
0.7346,1770,92,69.87
0.7527,1770,91,72.02
0.7704,1840,93,71.04
0.7878,1840,92,71.23
0.8052,1740,92,70.54
0.8226,1908,93,69.38
0.8404,1908,93,72.15
0.8577,1950,94,71.90
0.8751,1950,92,70.22
0.8929,1950,94,71.67
0.9106,2000,92,71.30
0.9281,2000,93,71.04
0.9455,2000,92,72.29
0.9632,2074,93,71.84
0.9806,2074,93,72.42
0.9980,2130,92,70.93
1.0155,2130,95,71.20
1.0330,2130,94,72.21
1.0504,2182,93,72.28
1.0680,2184,95,71.56
1.0854,2184,92,71.50
1.1028,1968,94,73.15
1.1202,2246,94,73.35
1.1377,2246,94,72.40
1.1551,2246,94,72.40
1.1725,2318,95,71.39
1.1898,2318,93,72.69
1.2073,2318,94,71.61
1.2248,2390,95,71.58
1.2422,2390,95,70.91
1.2596,2390,94,70.98
1.2771,2414,94,71.39
1.2948,2416,96,72.68
1.3123,2416,94,71.55
1.3296,2416,95,71.57
1.3473,2508,96,71.91
1.3648,2508,96,71.48
1.3823,2508,96,71.26
1.3996,2536,94,71.23
1.4174,2536,94,71.40
1.4349,2536,95,71.61
1.4522,2536,94,71.29
1.4700,2542,95,71.23
1.4875,2542,95,71.34
1.5053,2542,95,71.91
1.5227,2542,95,71.26
1.5404,2624,96,73.00
1.5579,2624,96,71.09
1.5753,2624,97,72.68
1.5927,2624,96,72.72
1.6102,2656,96,72.08
1.6277,2656,94,71.70
1.6451,2656,96,73.12
1.6626,2656,95,72.36
1.6803,2772,96,70.23
1.6978,2772,95,72.22
1.7153,2772,96,71.47
1.7331,2772,96,71.68
1.7509,2848,95,71.10
1.7683,2848,97,70.93
1.7861,2848,96,71.46
1.8036,2848,96,72.29
1.8211,2488,94,70.71
1.8385,2488,94,71.87
1.8562,2488,95,72.82
1.8737,2418,95,71.40
1.8912,2418,95,72.77
1.9086,2418,95,71.19
1.9264,2418,95,71.51
1.9440,2608,95,72.61
1.9615,2608,95,71.84
1.9790,2608,96,72.54
1.9966,2564,96,71.21
2.0140,2564,96,73.27
2.0315,2564,95,71.89
2.0491,2564,94,71.99
2.0664,2574,96,70.62
2.0840,2574,96,70.90
2.1013,2574,97,72.63
2.1194,2730,94,71.69
2.1369,2760,97,72.08
2.1543,2760,95,71.79
2.1721,2760,94,71.80
2.1896,2770,96,71.73
2.2071,2770,95,71.47
2.2245,2770,95,73.05
2.2425,2770,94,72.79
2.2600,2764,97,71.32
2.2778,2764,96,71.51
2.2953,2764,97,70.94
2.3128,2764,95,70.99
2.3302,2748,95,69.67
2.3477,2748,96,71.58
2.3651,2748,96,71.15
2.3829,2748,96,70.91
2.4004,2836,94,73.43
2.4181,2836,96,71.34
2.4359,2836,97,72.21
2.4537,2836,97,72.05
2.4712,2898,95,73.26
2.4890,2898,95,73.06
2.5064,2898,96,72.76
2.5241,2898,95,72.56
2.5415,2864,96,71.18
2.5589,2864,97,72.77
2.5765,2864,97,71.66
2.5940,2864,96,72.17
2.6114,2998,97,71.49
2.6289,3002,96,71.38
2.6464,3002,96,72.00
2.6639,3002,96,71.51
2.6814,3002,95,73.12
2.6988,2992,96,71.85
2.7164,2994,96,72.61
2.7339,2994,95,71.35
2.7513,2994,96,73.12
2.7695,3046,97,72.44
2.7870,3046,96,71.40
2.8044,3046,97,71.68
2.8220,3046,97,72.20
2.8398,2820,96,71.51
2.8572,3116,96,71.15
2.8747,3116,96,71.10
2.8922,3116,97,70.71
2.9101,3116,97,71.78
2.9275,3338,96,73.84
2.9449,3340,97,70.77
2.9626,3340,98,73.11
2.9801,3340,96,72.10
2.9975,3340,96,69.21
3.0150,3230,96,72.60
3.0325,3232,96,71.32
3.0500,3232,97,72.41
3.0674,3232,97,71.89
3.0850,3232,97,69.75
3.1025,3474,97,71.67
3.1204,3474,96,73.79
3.1378,3474,97,71.86
3.1553,3474,98,71.43
3.1730,2954,97,71.32
3.1905,2528,0,47.49
3.2079,2528,0,32.22
3.2252,2528,0,31.75
3.2426,2528,0,31.59
3.2599,2528,0,31.58
3.2772,2528,0,31.45
3.2949,2528,0,31.43
3.3133,2528,0,31.44
3.3306,3206,97,52.67
3.3480,3206,96,72.96
3.3654,3208,97,73.88
3.3829,3208,97,71.91
3.4003,3208,97,70.42
3.4181,3232,97,71.91
3.4356,3232,98,73.54
3.4530,3232,96,71.58
3.4704,3234,97,70.87
3.4878,3234,97,73.52
3.5052,3460,96,72.44
3.5226,3460,97,71.22
3.5401,3460,97,70.75
3.5575,3460,96,71.08
3.5749,3440,96,72.86
3.5923,3454,97,72.10
3.6098,3454,97,72.25
3.6274,3456,97,72.27
3.6449,3456,97,71.59
3.6623,3456,97,71.68
3.6797,3428,97,71.18
3.6973,3428,97,71.71
3.7147,3428,96,71.44
3.7322,3428,96,72.28
3.7499,3880,97,71.88
3.7678,3458,97,71.76
3.7857,3458,98,71.05
3.8030,3458,97,73.60
3.8205,3460,97,72.05
3.8380,3460,95,73.00
3.8556,3702,98,73.10
3.8733,3702,96,71.50
3.8912,3702,96,71.55
3.9090,3702,97,71.54
3.9264,3702,98,71.65
3.9443,3486,97,71.53
3.9625,3486,97,71.59
3.9804,3486,98,71.31
3.9979,3486,98,71.21
4.0153,3488,97,71.62
4.0327,3996,97,70.10
4.0507,3996,97,72.17
4.0685,3996,97,72.17
4.0863,3996,97,70.16
4.1039,3996,97,72.89
4.1221,3636,97,69.61
4.1396,3638,97,70.76
4.1577,3638,97,72.66
4.1752,3638,98,71.12
4.1929,3638,96,70.46
4.2106,3638,96,71.03
4.2281,3626,97,73.44
4.2463,3630,96,72.92
4.2640,3630,97,71.14
4.2820,3630,97,71.48
4.3001,3630,97,71.43
4.3179,3372,98,72.53
4.3354,3372,97,71.26
4.3529,3374,96,71.82
4.3707,3374,96,71.04
4.3887,3374,97,72.14
4.4069,3160,96,71.67
4.4250,3160,95,74.19
4.4432,3162,96,72.54
4.4607,3162,98,72.25
4.4788,3588,96,70.60
4.4969,3476,96,70.87
4.5148,3476,96,70.71
4.5329,3476,97,71.24
4.5505,3476,96,71.15
4.5685,3240,96,71.73
4.5864,3240,97,70.84
4.6045,3242,98,72.15
4.6220,3242,96,73.36
4.6398,3242,97,71.98
4.6573,3458,97,70.31
4.6751,3460,98,72.36
4.6932,3460,97,71.69
4.7108,3460,96,71.15
4.7282,3462,96,71.78
4.7456,3480,96,71.97
4.7632,3480,96,70.61
4.7806,3480,97,72.06
4.7984,3480,96,72.11
4.8165,3480,96,73.05
4.8339,3496,97,72.49
4.8515,3498,98,71.42
4.8697,3498,98,74.19
4.8878,3500,96,72.26
4.9054,3500,96,72.50
4.9228,3362,97,71.24
4.9404,3364,97,72.05
4.9582,3364,97,72.79
4.9764,3364,96,74.10
4.9938,3364,97,71.82
5.0120,3452,96,72.89
5.0302,3452,98,72.43
5.0483,3452,98,72.29
5.0662,3454,97,73.17
5.0838,3454,96,71.18
5.1014,3694,97,71.68
5.1190,3696,98,72.89
5.1365,3696,96,72.78
5.1540,3696,96,70.52
5.1715,3696,97,70.37
5.1893,3698,96,70.41
5.2076,3714,97,71.60
5.2253,3714,97,71.13
5.2428,3716,97,71.15
5.2606,3716,97,71.66
5.2784,3716,99,71.54
5.2958,3720,98,70.64
5.3132,3720,96,72.85
5.3307,3722,96,72.44
5.3486,3722,97,71.29
5.3664,3722,98,72.61
5.3847,3742,97,70.67
5.4025,3744,97,72.41
5.4200,3744,97,72.47
5.4375,3744,98,71.97
5.4556,3744,97,73.79
5.4735,3744,97,70.45
5.4909,4012,96,72.37
5.5091,4014,98,72.85
5.5269,4014,98,72.77
5.5451,4014,96,72.68
5.5626,4014,96,72.17
5.5801,4008,97,71.33
5.5983,4008,96,70.31
5.6160,4008,97,72.09
5.6334,4008,96,70.89
5.6509,4008,98,71.29
5.6688,3770,98,71.12
5.6863,3774,96,72.04
5.7038,3774,96,72.21
5.7212,3774,97,71.62
5.7386,3774,96,71.60
5.7563,3774,97,70.09
5.7737,3792,97,73.37
5.7911,3792,98,71.44
5.8087,3792,97,70.59
5.8263,3792,98,71.39
5.8441,3792,96,72.31
5.8617,3812,97,72.58
5.8792,3812,98,72.14
5.8966,3814,97,72.21
5.9145,3814,99,72.21
5.9321,3814,96,72.56
5.9495,3814,97,71.05
5.9670,3816,97,71.93
5.9844,3816,98,73.57
6.0019,3816,97,72.12
6.0194,3816,96,72.87
6.0369,3818,97,71.84
6.0544,3820,96,73.27
6.0719,3820,97,73.57
6.0892,3820,96,70.21
6.1066,3820,97,71.36
6.1243,3820,96,71.86
6.1422,3832,97,73.02
6.1597,3834,98,70.99
6.1775,3836,98,70.55
6.1950,3836,98,71.26
6.2128,3836,98,72.22
6.2303,3836,98,71.74
6.2477,3764,98,72.04
6.2653,3768,96,70.45
6.2827,3768,98,72.59
6.3004,3768,98,72.01
6.3179,3768,97,71.20
6.3353,3768,98,72.21
6.3527,3778,98,74.06
6.3703,3778,97,71.51
6.3878,3778,98,70.79
6.4052,3780,97,71.69
6.4227,3780,96,72.76
6.4402,3780,97,73.32
6.4579,4248,97,71.09
6.4758,4250,96,71.81
6.4932,4250,98,72.81
6.5107,4250,98,71.26
6.5282,4250,97,73.42
6.5457,3720,97,71.89
6.5633,3722,98,70.69
6.5806,3722,96,73.06
6.5984,3722,98,70.46
6.6158,3722,97,70.71
6.6333,3722,97,71.06
6.6508,3760,97,71.75
6.6681,3762,96,72.92
6.6857,3762,96,71.43
6.7030,3762,97,70.07
6.7205,3762,98,70.95
6.7378,3762,97,71.54
6.7553,3782,99,71.69
6.7731,3782,96,70.62
6.7909,3782,98,69.63
6.8085,3782,97,71.26
6.8259,3782,97,71.30
6.8434,3782,97,72.34
6.8613,4300,96,70.40
6.8787,4302,98,72.75
6.8961,4302,97,70.87
