Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,89,0,8.47
0.0174,89,0,8.23
0.0348,86,0,7.95
0.0523,258,2,10.96
0.0697,340,12,15.14
0.0872,424,1,14.92
0.1046,486,1,14.89
0.1220,568,1,14.93
0.1394,630,1,14.97
0.1570,714,1,15.04
0.1745,794,7,10.16
0.1919,856,19,8.93
0.2095,938,7,8.58
0.2269,1035,0,12.85
0.2444,1313,99,17.64
0.2618,1307,99,21.26
0.2791,1303,97,24.70
0.2966,1302,98,29.02
0.3144,1301,99,35.19
0.3318,1301,97,49.34
0.3491,1301,98,61.83
0.3665,1295,98,63.18
0.3842,1295,97,63.30
0.4019,1295,97,63.57
0.4193,1295,97,63.83
0.4372,1295,97,63.75
0.4547,1295,97,64.03
0.4720,1295,97,64.33
0.4894,1295,97,64.31
0.5068,1295,97,64.28
0.5244,1295,97,64.39
0.5417,1295,97,64.69
0.5591,1295,97,64.83
0.5764,1295,96,65.07
0.5939,1295,97,64.91
0.6115,1295,97,65.49
0.6291,1295,97,65.58
0.6464,1295,98,65.26
0.6639,1295,97,65.51
0.6813,1295,96,65.61
0.6986,1295,97,65.94
0.7160,1295,96,65.93
0.7334,1295,97,66.47
0.7511,1295,98,65.67
0.7685,1345,96,65.13
0.7859,1345,96,65.84
0.8035,1345,96,66.85
0.8208,1345,97,67.41
0.8383,1391,98,67.43
0.8557,1391,98,66.78
0.8730,1391,97,67.75
0.8904,1391,97,67.43
0.9078,1391,98,67.15
0.9252,1457,97,66.59
0.9429,1457,98,68.18
0.9602,1457,96,67.62
0.9776,1457,97,67.95
0.9950,1505,97,67.79
1.0128,1507,97,67.36
1.0301,1507,97,68.17
1.0475,1507,97,68.32
1.0650,1507,98,69.14
1.0824,1571,98,68.25
1.0998,1571,98,70.65
1.1174,1571,97,70.22
1.1350,1571,98,70.05
1.1526,1571,97,69.94
1.1700,1635,98,69.53
1.1876,1635,99,70.09
1.2051,1635,97,70.40
1.2226,1635,98,69.71
1.2401,1669,97,69.72
1.2575,1671,97,69.87
1.2749,1671,96,70.36
1.2923,1671,97,70.86
1.3099,1671,96,71.32
1.3272,1727,94,70.63
1.3447,1729,98,71.11
1.3624,1729,98,71.66
1.3798,1729,98,71.61
1.3971,1729,98,72.08
1.4146,1897,98,71.58
1.4321,1811,97,71.27
1.4495,1811,97,71.65
1.4672,1811,98,72.12
1.4846,1811,98,72.15
1.5021,1811,98,72.40
1.5194,1857,99,71.61
1.5369,1857,98,71.84
1.5543,1857,97,71.96
1.5717,1857,98,72.06
1.5891,1857,97,72.19
1.6064,1921,99,72.66
1.6239,1923,97,72.07
1.6413,1923,97,72.52
1.6586,1923,98,72.31
1.6762,1923,98,71.60
1.6937,1923,98,72.40
1.7112,1949,97,71.61
1.7285,1949,99,72.44
1.7458,1949,98,73.04
1.7633,1949,97,72.98
1.7807,1949,97,72.60
1.7985,2045,90,67.62
1.8162,2045,98,64.28
1.8335,2045,98,73.82
1.8509,2045,98,72.97
1.8684,2045,97,72.57
1.8857,2045,98,73.01
1.9030,2089,86,72.17
