Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,415,3,8.51
0.0176,415,0,8.73
0.0349,415,0,8.68
0.0522,1217,0,19.57
0.0696,1793,26,37.31
0.0874,2497,0,37.32
0.1050,3265,27,37.25
0.1223,3777,0,37.25
0.1402,4545,27,37.27
0.1575,5121,0,36.05
0.1754,5825,50,15.61
0.1927,6593,0,12.04
0.2103,7105,0,11.08
0.2276,7681,45,11.84
0.2455,8385,0,11.00
0.2628,8897,1,11.51
0.2801,9409,8,11.01
0.2980,10177,31,10.49
0.3156,10689,18,11.92
0.3329,11201,0,10.95
0.3505,11967,0,10.51
0.3683,11967,10,11.33
0.3856,11967,55,10.99
0.4032,11967,41,9.94
0.4208,11967,21,10.62
0.4386,11967,36,11.34
0.4559,11967,72,10.85
0.4733,11967,6,11.30
0.4906,11967,0,10.51
0.5079,11967,0,10.20
0.5252,11967,0,11.19
0.5430,11967,1,11.03
0.5604,11967,1,10.20
0.5779,11959,0,10.94
0.5953,11959,0,11.21
0.6128,404,3,9.11
