Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,23,0,16.60
0.0176,23,0,16.59
0.0351,23,0,16.58
0.0532,25,0,16.68
0.0703,418,14,18.64
0.0881,1544,8,28.98
0.1056,2744,9,29.03
0.1235,3944,8,28.89
0.1411,5144,8,28.98
0.1586,6344,8,28.89
0.1762,7544,8,29.01
0.1937,8744,8,28.94
0.2111,9944,8,29.09
0.2285,11144,9,28.81
0.2459,12344,8,29.13
0.2632,13544,8,29.10
0.2806,14744,8,28.92
0.2980,15944,8,29.16
0.3154,17244,14,29.07
0.3334,18444,8,29.18
0.3509,19644,8,29.05
0.3684,20844,8,28.86
0.3859,22044,11,29.15
