Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0001,23,0,16.20
0.0175,23,0,16.20
0.0350,23,0,16.20
0.0528,23,0,16.20
0.0706,23,0,16.20
0.0881,23,0,16.20
0.1059,23,0,16.25
0.1241,25,0,16.47
0.1415,25,0,16.20
0.1596,472,0,24.76
0.1774,940,3,27.60
0.1948,1372,0,27.56
0.2122,1804,0,27.62
0.2299,2236,0,27.63
0.2474,2668,0,27.79
0.2650,3100,0,27.67
0.2826,3424,0,27.68
0.3002,3964,6,27.70
0.3181,4396,0,27.75
0.3358,4684,0,28.38
0.3532,5116,0,27.78
0.3707,5692,0,27.63
0.3884,6124,1,27.86
0.4064,6556,12,27.76
0.4248,6988,12,27.76
0.4427,7420,12,27.82
0.4605,7852,12,27.87
0.4782,8284,12,27.82
0.4957,8716,0,27.80
0.5131,9148,3,28.04
0.5306,9580,0,27.82
0.5485,10012,0,27.99
0.5662,10444,0,27.83
0.5836,10876,0,27.82
0.6014,11452,3,27.91
0.6196,11884,3,27.83
0.6371,12316,12,27.81
0.6545,12748,0,27.85
0.6720,13180,0,27.94
0.6900,13612,3,27.95
0.7079,14044,12,27.86
0.7263,14476,12,27.95
0.7440,14908,12,28.01
0.7618,15340,12,27.90
0.7799,15772,0,28.03
0.7982,16204,12,27.82
0.8157,16636,3,28.06
0.8331,17068,0,27.88
0.8512,17500,6,28.04
0.8689,17932,0,28.04
0.8866,18364,0,27.89
0.9047,18796,12,28.02
0.9221,19228,12,27.98
0.9403,19660,9,28.06
0.9582,20092,1,28.02
0.9762,20524,9,28.02
0.9939,20956,12,27.99
1.0116,21388,12,27.95
1.0294,21820,0,28.13
1.0474,22252,9,28.17
1.0649,22540,3,27.99
1.0822,22504,0,27.93
