Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0001,296,0,9.17
0.0178,296,0,9.00
0.0351,296,0,9.11
0.0524,639,2,9.12
0.0702,1251,0,34.87
0.0876,1683,17,37.66
0.1049,2259,15,37.66
0.1222,2691,0,37.65
0.1396,3159,0,37.58
0.1572,3699,0,37.58
0.1745,4131,28,22.71
0.1918,4563,30,12.57
0.2094,4995,26,10.80
0.2270,5571,15,10.56
0.2446,6003,16,10.30
0.2619,6435,7,10.16
0.2792,6867,2,10.07
0.2968,7299,41,10.34
0.3141,7731,42,10.57
0.3317,8163,42,10.72
0.3491,8595,40,10.66
0.3669,9171,46,10.74
0.3845,9603,61,10.63
0.4018,10035,65,10.80
0.4192,10467,62,10.32
0.4365,10899,61,10.75
0.4538,11331,62,10.75
0.4711,11763,61,10.70
0.4887,11943,0,10.23
0.5066,11943,0,10.25
0.5244,11943,5,10.12
0.5420,11943,32,10.12
0.5593,11943,67,10.28
0.5769,11943,48,10.27
0.5942,11943,19,9.75
0.6118,11943,0,9.88
0.6294,11943,0,9.79
0.6467,11943,23,10.13
0.6640,11943,11,9.96
0.6814,11943,0,9.84
0.6987,11943,1,9.90
0.7163,11943,42,9.89
0.7339,11943,39,9.89
0.7515,11943,0,9.84
0.7693,11943,0,9.73
0.7869,11943,0,9.94
0.8045,296,2,8.94
