Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0001,14,0,16.50
0.0179,14,0,16.50
0.0354,14,0,16.53
0.0527,16,0,16.50
0.0698,1384,10,28.26
0.0872,2726,11,28.55
0.1048,4094,9,28.55
0.1227,5462,11,28.59
0.1401,6784,9,28.50
0.1575,8224,11,28.57
0.1754,9638,11,28.67
0.1932,11006,8,28.74
0.2107,12046,0,28.65
0.2285,12046,0,28.34
0.2462,12386,0,27.94
0.2643,13172,100,48.12
0.2820,13792,100,60.88
0.2997,14172,99,66.10
0.3171,14172,99,63.58
0.3352,14172,100,65.14
0.3529,14172,100,62.34
0.3709,14172,100,64.69
0.3883,14172,100,64.04
0.4060,14172,100,68.96
0.4238,14172,100,66.28
0.4413,14172,100,62.39
0.4590,14172,99,68.87
0.4767,14172,100,66.59
0.4942,14172,100,65.84
0.5115,14172,100,65.83
0.5289,14172,100,66.22
0.5466,14172,99,61.64
0.5640,14172,100,62.78
0.5815,14172,100,61.29
0.5989,14172,100,65.83
0.6163,14172,100,65.62
0.6337,14172,100,61.34
0.6510,14172,100,67.38
0.6685,14172,100,64.72
0.6862,14172,100,68.51
0.7039,14172,100,62.41
0.7213,14172,100,70.14
0.7387,14172,99,63.73
0.7561,14172,100,67.53
0.7736,14172,100,64.89
0.7909,14172,100,67.82
0.8090,14172,99,65.18
0.8267,14172,99,64.59
0.8444,14172,100,64.55
0.8619,14172,100,67.56
0.8794,14172,100,64.32
0.8971,14172,100,68.53
0.9148,14172,100,64.25
0.9325,14172,100,67.88
0.9499,14172,0,59.59
