Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,21,0,12.04
0.0178,21,0,11.94
0.0355,21,0,11.82
0.0530,209,2,11.85
0.0703,409,2,11.97
0.0877,609,2,11.99
0.1054,829,2,12.00
0.1230,1029,2,11.99
0.1404,1249,3,12.00
0.1582,1449,2,12.03
0.1756,1669,2,12.03
0.1930,1889,2,12.03
0.2105,2089,2,12.06
0.2281,2309,2,12.06
0.2455,2509,3,12.07
0.2629,2729,2,12.10
0.2802,2949,2,12.11
0.2977,3147,0,12.91
0.3151,3815,97,24.90
0.3327,3927,98,55.53
0.3502,4039,98,55.92
0.3676,4039,98,56.67
0.3852,4039,98,56.63
0.4029,4039,99,56.93
0.4202,4039,99,57.16
0.4377,4039,100,57.12
0.4552,4039,100,57.37
0.4726,4039,100,57.79
0.4902,4039,98,57.70
0.5077,4039,98,57.70
0.5252,4039,98,57.53
0.5426,4039,99,57.83
0.5599,4039,99,57.94
0.5777,4039,98,58.20
0.5950,4039,98,58.48
0.6124,4039,98,58.28
0.6298,4039,98,58.59
0.6471,4039,99,58.60
0.6646,4039,98,58.94
0.6819,4039,98,58.80
0.6996,4039,98,59.25
0.7171,4039,99,59.17
0.7347,4039,99,59.43
0.7522,4039,98,59.16
0.7697,4039,98,59.34
0.7871,4039,98,59.44
0.8045,4039,99,59.55
0.8218,4039,98,59.97
0.8392,4039,99,59.76
0.8566,4039,98,59.84
0.8742,4039,97,60.34
0.8915,4039,99,60.12
0.9089,4039,98,60.30
0.9266,4039,98,60.54
0.9442,4039,98,59.81
0.9616,4039,98,60.70
0.9789,4039,98,60.67
0.9962,4039,99,60.90
1.0137,4039,98,60.62
1.0311,4039,98,60.61
1.0484,4039,97,60.82
1.0658,4039,98,61.28
1.0832,4039,98,61.04
1.1008,4039,98,61.13
1.1181,4039,98,61.42
1.1354,4039,98,61.72
1.1528,4039,97,61.14
1.1702,4039,98,61.25
1.1876,4039,98,61.63
1.2052,4039,97,61.37
1.2227,4039,99,60.87
1.2401,4039,98,61.53
1.2575,3827,98,59.55
1.2750,3827,98,62.01
1.2924,3827,98,61.88
1.3099,3827,98,62.12
1.3275,3827,99,62.57
1.3448,3827,98,62.41
1.3625,3827,98,62.69
1.3798,3827,97,62.34
1.3971,3891,98,61.92
1.4147,3995,99,62.65
1.4322,3995,98,62.83
1.4495,3995,99,63.40
1.4670,3995,99,62.90
1.4845,3995,99,62.70
1.5021,3995,98,62.95
1.5194,3695,99,63.35
1.5367,3799,98,62.90
1.5541,3907,99,63.40
1.5714,3907,99,63.91
1.5887,3907,99,63.25
1.6063,3907,99,63.42
1.6238,3907,99,63.42
1.6412,3907,96,63.33
1.6586,3925,98,63.06
1.6761,4037,97,63.11
1.6937,4037,98,63.24
1.7112,4037,98,63.75
1.7285,4037,98,63.65
1.7459,4037,97,63.48
1.7634,4037,98,64.42
1.7808,4037,99,63.84
1.7982,3829,98,63.59
1.8157,3947,97,64.66
1.8332,3947,99,64.63
1.8508,3947,99,64.58
1.8681,3947,99,64.84
1.8855,3947,97,64.36
1.9029,3947,99,64.69
1.9203,4003,99,64.20
1.9377,4117,98,64.44
1.9549,4237,98,64.87
1.9724,4237,99,65.04
1.9897,4237,98,65.30
2.0075,4237,99,64.94
2.0250,4237,98,64.49
2.0424,4237,98,64.75
2.0598,4211,95,64.42
2.0773,4341,99,64.53
2.0946,4341,98,64.74
2.1119,4341,98,65.10
2.1292,4341,99,65.64
2.1466,4341,99,65.45
2.1639,4341,99,65.96
2.1813,4341,98,64.98
2.1988,4277,99,64.97
2.2162,4407,99,65.07
2.2338,4541,99,65.09
2.2512,4541,98,65.15
2.2685,4541,97,65.25
2.2860,4541,99,65.68
2.3032,4541,99,65.44
2.3205,4541,99,65.14
2.3380,4245,96,65.16
2.3554,4519,98,65.87
2.3728,4519,98,65.57
2.3902,4519,99,65.87
2.4076,4519,98,65.63
2.4249,4519,98,66.36
2.4423,4519,99,65.69
2.4599,4519,98,66.22
2.4774,4161,98,65.97
2.4948,4307,99,65.97
2.5123,4307,99,65.61
2.5297,4307,98,65.78
2.5470,4307,99,65.94
2.5644,4307,98,65.57
2.5818,4307,99,65.85
2.5995,4307,99,65.79
2.6169,4451,99,66.28
2.6342,4625,99,65.93
2.6516,4769,99,66.14
2.6689,4919,99,66.75
2.6865,4919,99,66.76
2.7041,4919,99,66.72
2.7215,4919,99,65.93
2.7388,4919,98,66.29
2.7561,4919,99,66.73
2.7738,4383,86,66.10
2.7911,4385,98,66.60
2.8085,4385,98,66.63
2.8258,4385,99,66.49
2.8431,4385,99,66.86
2.8607,4543,99,67.01
2.8782,4543,99,66.65
2.8955,4543,99,66.88
2.9131,4543,98,66.55
2.9305,4583,98,66.52
2.9480,4583,99,66.76
2.9654,4583,99,66.82
2.9831,4737,99,66.29
3.0007,4737,99,67.06
3.0180,4737,98,66.13
3.0353,4899,98,66.49
3.0526,4899,98,66.92
3.0700,4899,99,66.90
3.0874,4483,98,66.56
3.1049,4643,99,66.76
3.1224,4643,99,66.59
3.1399,4809,99,67.54
3.1574,4809,98,66.73
3.1749,4977,99,66.67
3.1923,4977,98,66.97
3.2097,4977,98,67.43
3.2272,4977,98,67.71
3.2447,5015,98,66.93
3.2622,5191,99,68.01
3.2796,5191,98,68.13
3.2970,5191,98,68.02
3.3145,5191,99,67.97
3.3320,5191,99,68.04
3.3494,5191,98,67.56
3.3669,5191,98,68.18
3.3844,5191,98,67.72
3.4018,4865,82,68.04
3.4195,5033,98,67.98
3.4369,5033,99,68.02
3.4545,5213,99,68.32
3.4719,5213,99,68.24
3.4896,5395,99,68.07
3.5069,5395,99,68.35
3.5242,5395,99,67.92
3.5415,5395,99,67.99
3.5588,4811,99,68.21
3.5762,4989,98,67.06
3.5938,4989,99,67.96
3.6111,4989,99,67.99
3.6286,5171,99,68.05
3.6460,5171,99,67.39
3.6635,5171,98,67.50
3.6811,5171,99,67.73
3.6985,5171,99,68.13
3.7160,5171,98,67.94
3.7336,4981,98,67.77
3.7510,5359,99,68.03
3.7685,5359,99,68.33
3.7858,5359,100,68.71
3.8031,5359,99,68.48
3.8204,5359,99,69.20
3.8380,5359,98,68.53
3.8554,5359,99,68.95
3.8727,5359,99,68.86
3.8900,5359,99,68.07
3.9074,5185,98,68.04
3.9249,5185,99,68.47
3.9422,5185,99,68.87
3.9598,5185,99,68.84
3.9771,5185,99,68.62
3.9944,5185,99,68.69
4.0119,5185,99,68.80
4.0297,5185,99,68.91
4.0470,5185,99,68.54
4.0646,5185,99,68.91
4.0821,5167,99,68.56
4.0998,5537,99,68.76
4.1174,5537,98,69.17
4.1347,5537,98,68.23
4.1522,5693,87,65.39
4.1695,5693,99,59.39
4.1868,5693,99,57.44
4.2041,5693,99,68.41
4.2216,5693,99,68.18
4.2390,5693,99,68.86
4.2565,5693,99,69.14
4.2738,4695,100,54.14
4.2914,5011,99,60.22
4.3088,5011,99,68.50
4.3262,5011,99,68.95
4.3437,5011,99,68.68
4.3612,5223,98,69.11
4.3788,5223,98,69.46
4.3963,5223,98,68.89
4.4137,5223,99,69.50
4.4312,5223,99,69.05
4.4488,5223,99,68.90
4.4664,5205,99,68.86
4.4837,5405,98,68.73
4.5011,5549,95,66.59
4.5188,5549,98,66.48
4.5363,5571,100,62.05
4.5536,5571,99,68.71
4.5709,5571,99,69.10
4.5884,5571,99,68.97
4.6060,5571,98,66.30
4.6233,5571,98,68.67
4.6408,5599,100,60.00
4.6582,5599,100,61.36
4.6758,5039,99,51.94
4.6934,5039,99,68.99
4.7107,5039,99,69.03
4.7281,5261,99,68.54
4.7456,5261,98,68.71
4.7629,5261,99,68.71
4.7805,5261,99,68.64
4.7980,5485,97,68.01
4.8155,5647,99,68.21
4.8329,5683,99,66.48
4.8504,5683,99,60.15
4.8679,5479,78,67.77
4.8855,5629,99,67.61
4.9031,5629,99,59.55
4.9205,5663,98,51.24
4.9380,5663,99,58.75
4.9555,5663,100,58.89
4.9729,5663,100,59.29
4.9905,5663,99,60.47
5.0078,5663,99,61.38
5.0252,5663,98,57.73
5.0427,5663,99,58.54
5.0601,5663,99,60.92
5.0774,5663,100,58.03
5.0948,5663,99,58.57
5.1122,5663,99,57.05
5.1296,5663,100,55.91
5.1469,5129,98,40.20
5.1645,5357,99,55.41
5.1821,5357,100,34.73
5.1997,5357,100,32.47
5.2170,5357,100,32.30
5.2344,5357,100,32.16
5.2519,5357,100,32.02
5.2694,5357,100,31.94
5.2868,5357,100,31.90
5.3041,5357,100,31.88
5.3215,5357,100,31.89
5.3391,5357,100,31.86
5.3566,5357,100,31.77
5.3740,5357,100,31.63
5.3916,5357,100,31.45
5.4091,5357,99,44.77
5.4264,5723,100,52.49
5.4438,5725,100,47.84
5.4613,5725,99,47.37
5.4788,5725,99,50.05
5.4961,5725,99,48.14
5.5136,5725,99,44.70
5.5311,5725,100,41.11
5.5487,5725,100,36.20
5.5659,5725,100,30.19
5.5833,5725,100,29.97
5.6006,5725,99,30.91
5.6181,5725,100,39.88
5.6354,5725,100,31.03
5.6527,5725,100,30.84
5.6702,5725,100,30.62
5.6876,5725,100,30.40
5.7055,5725,100,30.24
5.7228,5725,100,30.12
5.7401,5725,100,30.31
5.7576,5725,100,30.42
5.7750,5725,100,30.36
5.7924,5725,100,30.33
5.8099,5725,100,30.32
5.8273,5725,99,32.01
5.8448,5725,100,46.21
5.8623,5725,99,46.39
5.8796,5725,99,46.81
5.8972,5725,99,45.12
5.9146,5725,99,47.05
5.9320,5725,100,44.27
5.9493,5725,99,45.84
5.9667,5725,100,45.98
5.9842,5725,100,38.65
6.0015,5725,100,30.12
6.0190,5725,100,30.05
6.0364,5725,100,29.70
6.0537,5725,100,29.67
6.0711,5725,100,29.88
6.0884,5725,100,29.90
6.1059,5725,100,29.81
6.1233,5725,100,29.75
6.1407,5725,100,40.34
6.1580,5725,100,46.18
6.1754,5725,100,38.82
6.1927,5725,100,28.95
6.2101,5725,100,28.99
6.2275,5725,100,28.57
6.2451,5725,100,39.44
6.2625,5725,99,47.32
6.2800,4941,100,50.54
6.2975,4941,99,58.21
6.3148,4941,100,57.74
6.3325,5007,98,56.70
6.3500,5007,99,68.52
6.3673,5007,98,67.94
6.3849,5007,98,68.44
6.4024,5007,98,68.52
6.4199,5007,98,68.54
6.4374,5185,98,68.46
6.4547,5073,99,68.03
6.4722,5073,98,68.51
6.4896,5073,98,68.42
6.5071,5073,99,69.08
6.5246,5073,99,69.53
6.5419,5073,99,69.16
6.5596,5073,99,69.09
6.5771,5073,98,68.98
6.5944,5253,98,69.25
6.6119,5141,99,69.16
6.6292,5141,99,69.78
6.6465,5141,99,69.50
6.6638,5141,99,69.20
6.6812,5141,98,69.15
6.6987,5141,99,69.30
6.7164,5141,98,69.27
6.7338,5141,98,69.75
6.7514,5141,98,69.79
6.7687,5273,93,69.19
6.7861,5273,97,70.00
6.8037,5273,99,70.31
6.8211,5273,99,69.44
6.8386,5273,99,69.53
6.8560,5273,99,70.10
6.8736,5273,99,70.14
6.8910,5273,99,69.75
6.9085,5273,98,70.10
6.9259,5467,98,70.02
6.9433,4951,94,56.46
6.9606,4951,99,70.06
6.9780,4951,99,70.00
6.9955,4951,99,70.52
7.0130,4951,99,70.17
7.0303,4951,99,70.62
7.0477,4951,99,70.35
7.0650,4951,99,70.83
7.0823,4951,99,69.69
7.0999,4951,99,70.35
7.1174,5279,99,68.37
7.1348,5279,98,69.65
7.1522,5279,98,70.18
7.1696,5279,98,70.44
7.1870,5279,99,70.51
7.2044,5279,99,70.29
7.2217,5279,99,70.56
7.2392,5279,99,70.44
7.2567,5279,99,70.55
7.2742,5279,99,70.81
7.2915,5275,99,62.79
7.3088,5275,99,63.35
7.3263,5277,99,62.59
7.3437,5277,99,63.05
7.3614,5277,99,63.55
7.3788,5277,99,62.83
7.3963,5277,99,62.89
7.4137,5277,99,62.97
7.4311,5277,99,62.98
7.4483,5277,99,63.65
7.4659,5277,99,62.44
7.4831,5277,99,63.10
7.5006,5733,100,57.23
7.5181,5253,99,36.19
7.5354,5255,99,52.98
7.5529,5255,99,53.51
7.5702,5255,99,54.08
7.5876,5255,99,54.12
7.6049,5255,99,53.91
7.6224,5255,100,52.79
7.6398,5485,98,53.38
7.6573,5485,99,53.56
7.6747,5485,100,52.70
7.6922,5485,99,54.55
7.7099,5485,99,54.43
7.7272,5485,99,55.58
7.7448,5485,99,53.62
7.7622,5485,100,53.87
7.7798,5485,99,51.80
7.7972,5485,100,52.00
7.8146,5485,99,54.64
7.8320,5397,58,44.91
7.8497,5397,99,55.78
7.8672,5397,99,56.64
7.8845,5397,99,58.29
7.9020,5397,99,58.95
7.9192,5397,99,58.33
7.9369,5397,99,58.65
7.9544,5397,99,59.33
7.9717,5397,100,58.27
7.9891,5397,99,56.21
8.0065,5397,99,57.01
8.0240,5397,100,57.64
8.0417,5397,99,57.45
8.0593,5397,99,57.72
8.0767,5397,99,56.83
8.0942,5397,100,57.71
8.1116,5729,99,57.49
8.1290,5365,100,39.45
8.1464,5365,100,38.84
8.1640,5365,100,37.96
8.1816,5365,99,41.25
8.1991,5365,100,39.05
8.2164,5367,100,37.36
8.2341,5367,99,40.89
8.2516,5367,100,37.81
8.2689,5367,100,38.28
8.2862,5367,98,40.98
8.3037,5367,100,39.23
8.3214,5367,100,39.28
8.3388,5367,100,38.90
8.3563,5367,100,38.10
8.3737,5367,100,37.78
8.3910,5367,100,39.47
8.4085,5367,100,38.42
8.4259,5367,99,39.63
8.4436,5367,100,37.28
8.4613,5367,100,37.36
8.4791,5367,100,38.30
8.4964,5367,100,38.23
8.5136,5367,100,38.23
8.5311,5367,100,37.24
8.5485,5367,100,40.65
8.5661,5367,100,37.37
8.5835,5367,100,38.31
8.6009,5367,100,37.32
8.6184,5367,100,39.28
8.6357,5367,100,38.06
8.6533,5367,100,36.35
8.6708,5367,99,40.05
8.6883,5367,100,36.72
8.7058,5367,100,38.00
8.7232,5367,100,37.36
8.7408,5367,100,38.29
8.7582,5367,99,39.37
8.7755,5367,100,37.21
8.7930,5367,100,37.92
8.8104,5367,100,38.18
8.8278,5367,99,40.30
8.8458,5367,100,37.55
8.8632,5667,92,38.58
8.8808,5477,99,45.98
8.8984,5479,99,54.12
8.9157,5479,99,51.78
8.9331,5671,100,50.20
8.9505,5671,99,53.58
8.9680,5671,99,53.96
8.9854,5671,99,51.67
9.0028,5671,99,53.19
9.0202,5671,100,54.03
9.0377,5671,99,53.08
9.0551,5671,99,52.80
9.0725,5671,100,53.60
9.0900,5671,100,50.47
9.1074,5671,99,53.39
9.1249,5671,100,52.76
9.1423,5671,100,53.27
9.1596,5671,100,53.18
9.1771,5671,99,52.37
9.1945,5671,100,47.70
9.2122,5671,100,38.30
9.2294,4803,100,29.00
9.2468,5131,100,37.24
9.2641,5131,99,41.04
9.2816,5131,100,39.05
9.2991,5131,100,38.38
9.3164,5131,100,38.81
9.3339,5131,100,38.60
9.3512,5131,99,39.28
9.3685,5131,100,38.74
9.3860,5131,100,37.84
9.4033,5131,98,39.85
9.4208,5131,100,39.29
9.4384,5131,99,40.00
9.4557,5131,99,42.16
9.4732,5133,100,38.25
9.4907,5133,99,38.39
9.5082,5133,100,38.43
9.5255,5133,100,36.90
9.5431,5133,99,40.97
9.5605,5133,100,39.63
9.5779,5133,100,36.69
9.5955,5133,99,41.10
9.6130,5133,100,37.16
9.6304,5133,99,39.13
9.6480,5133,100,38.80
9.6657,5133,100,35.70
9.6831,5133,99,41.88
9.7006,5133,100,40.89
9.7180,5133,100,38.97
9.7356,5133,99,40.26
9.7530,5133,100,37.92
9.7704,5133,100,37.77
9.7879,5133,100,39.47
9.8054,5133,100,36.24
9.8228,5133,99,40.94
9.8405,5133,100,38.60
9.8580,5133,100,38.64
9.8753,5133,99,39.15
9.8927,5133,100,38.26
9.9102,5133,100,37.18
9.9277,5133,99,40.40
9.9451,5701,98,39.32
9.9628,5701,100,30.75
9.9802,5701,100,30.56
9.9976,5701,100,30.49
10.0153,5701,100,30.60
10.0329,5701,100,30.56
10.0503,5701,100,30.65
10.0677,5701,100,30.52
10.0853,5701,100,30.40
10.1027,5701,100,30.21
10.1202,5701,100,32.47
10.1377,5701,100,30.02
10.1552,5701,100,29.97
10.1727,5701,100,29.94
10.1900,5701,100,29.96
10.2075,5701,100,29.84
10.2250,5703,100,37.03
10.2423,5703,100,29.65
10.2597,5703,100,29.88
10.2772,5703,100,30.11
10.2946,5703,100,29.76
10.3120,5703,99,31.57
10.3294,5703,100,29.04
10.3468,5703,100,29.14
10.3642,5703,100,29.18
10.3816,5703,99,30.65
10.3990,5703,100,44.22
10.4164,5703,100,30.25
10.4337,5703,100,30.17
10.4513,5703,100,30.16
10.4688,5703,100,30.11
10.4862,5703,100,30.08
10.5036,5703,100,30.09
10.5210,5703,100,30.17
10.5386,5703,100,30.15
10.5562,5703,100,29.99
10.5739,5703,100,29.94
10.5916,5703,100,29.97
10.6090,5703,100,29.92
10.6265,5703,100,29.89
10.6438,5703,100,29.85
