Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,94,0,12.74
0.0174,94,0,12.63
0.0348,94,0,12.53
0.0521,263,0,12.62
0.0695,323,1,12.59
0.0870,363,0,12.59
0.1044,403,0,12.60
0.1217,463,1,12.60
0.1391,503,0,12.60
0.1566,543,1,12.61
0.1740,603,0,12.62
0.1914,643,1,12.63
0.2087,683,0,12.64
0.2262,743,1,12.65
0.2437,783,1,12.66
0.2613,843,1,12.67
0.2787,883,0,12.66
0.2963,943,1,12.67
0.3137,983,0,12.67
0.3312,1043,0,12.70
0.3486,1083,1,12.70
0.3660,1123,0,12.70
0.3834,1183,1,12.70
0.4010,1223,0,12.70
0.4185,1283,1,12.70
0.4358,1323,1,12.71
0.4532,1363,0,12.71
0.4708,1423,1,12.71
0.4883,1463,0,12.72
0.5058,1503,1,12.73
0.5233,1563,0,12.73
0.5407,1603,1,12.72
0.5584,1643,0,12.72
0.5758,1703,1,12.73
0.5932,1743,0,12.74
0.6107,1803,0,12.75
0.6282,1843,1,12.75
0.6456,1883,0,12.76
0.6631,1943,1,12.74
0.6804,1983,0,12.74
0.6977,2043,1,12.76
0.7151,2083,1,12.77
0.7326,2123,0,12.76
0.7499,2183,1,12.76
0.7674,2223,0,12.75
0.7848,2283,0,12.76
0.8025,2323,1,12.77
0.8199,2363,0,12.78
0.8372,2423,0,12.78
0.8547,2463,1,12.79
0.8720,2523,0,12.78
0.8895,2563,1,12.78
0.9069,2603,0,12.79
0.9242,2663,1,12.78
0.9416,2703,0,12.78
0.9591,2743,1,12.79
0.9764,2803,1,12.80
0.9938,2843,1,12.79
1.0112,2883,0,12.78
1.0287,2943,1,12.78
1.0461,2983,0,12.80
1.0634,3043,1,12.78
1.0809,3083,0,12.79
1.0983,3123,1,12.79
1.1157,3183,0,12.81
1.1331,3223,0,12.80
1.1505,3283,1,12.82
1.1678,3323,0,12.81
1.1852,3461,1,12.81
1.2026,3889,98,19.02
1.2203,4005,98,57.96
1.2379,4065,98,58.53
1.2554,4065,97,58.85
1.2728,4065,98,59.28
1.2902,4065,98,59.12
1.3077,4065,98,59.55
1.3252,4065,98,59.53
1.3425,4065,99,59.69
1.3599,4127,98,59.85
1.3774,4127,98,59.95
1.3948,4127,98,60.10
1.4124,4127,98,60.51
1.4300,4127,97,60.58
1.4476,4127,98,60.74
1.4653,4127,99,60.57
1.4829,4127,97,61.20
1.5002,4127,97,60.84
1.5175,4127,99,61.17
1.5350,4127,97,61.42
1.5525,4127,97,61.71
1.5701,4127,98,61.69
1.5878,4127,97,61.86
1.6052,4127,98,62.11
1.6227,4127,99,61.76
1.6401,4127,99,62.15
1.6576,4127,98,62.12
1.6753,4127,98,62.23
1.6929,4127,98,62.50
1.7105,4127,97,62.61
1.7281,4127,99,62.53
1.7454,4127,97,62.88
1.7629,4127,97,62.88
1.7804,4127,99,62.92
1.7979,4127,97,63.15
1.8154,4127,97,63.37
1.8327,4127,98,63.27
1.8502,4127,99,63.73
1.8675,4127,98,63.69
1.8851,4127,98,63.52
1.9026,4127,98,63.48
1.9198,4127,98,63.88
1.9375,4127,98,63.90
1.9549,4065,97,62.95
1.9724,4183,97,63.52
1.9899,4183,97,63.96
2.0072,4183,98,63.84
2.0246,4183,96,63.95
2.0420,4183,98,64.53
2.0594,4153,93,64.25
2.0767,4153,97,64.16
2.0941,4153,97,64.55
2.1115,4153,98,64.43
2.1288,4153,97,64.79
2.1464,4153,97,64.83
2.1638,4053,99,64.62
2.1812,4053,98,65.15
2.1987,4053,97,64.93
2.2163,4119,98,65.11
2.2336,4119,97,64.95
2.2510,4119,98,65.27
2.2684,4193,96,65.11
2.2859,4261,99,65.09
2.3033,4261,97,65.55
2.3209,4331,98,65.53
2.3384,4331,96,65.40
2.3557,4331,98,65.15
2.3735,4099,97,65.01
2.3908,4169,98,65.73
2.4082,4169,98,66.01
2.4256,4169,99,66.14
2.4431,4169,98,66.13
2.4604,4169,99,66.03
2.4778,4159,99,65.96
2.4952,4229,97,66.15
2.5125,4229,99,66.34
2.5301,4301,99,66.32
2.5477,4301,97,66.26
2.5650,4301,97,66.42
2.5825,4191,98,66.40
2.5998,4191,96,66.46
2.6172,4345,97,66.14
2.6347,4345,97,66.71
2.6521,4345,98,66.49
2.6695,4345,98,66.79
2.6869,4345,97,66.72
2.7042,4257,97,66.25
2.7217,4257,98,66.54
2.7392,4257,99,66.86
2.7566,4257,98,66.41
2.7740,4257,96,66.78
2.7914,4257,97,66.50
2.8088,4425,91,66.45
2.8261,4425,99,66.58
2.8439,4503,98,66.93
2.8614,4503,98,66.94
2.8788,4583,99,67.15
2.8965,4583,98,67.10
2.9140,4305,99,67.24
2.9315,4393,97,66.83
2.9491,4393,98,67.10
2.9667,4393,98,67.36
2.9841,4393,98,67.31
3.0014,4393,96,67.32
3.0187,4393,98,67.55
3.0363,4447,98,67.47
3.0539,4447,96,67.35
3.0714,4447,99,67.67
3.0888,4617,97,67.72
3.1064,4705,98,67.90
3.1240,4705,98,67.76
3.1414,4705,98,67.56
3.1588,4517,98,67.30
3.1763,4517,98,67.47
3.1936,4517,98,67.62
3.2110,4517,98,67.62
3.2283,4517,98,67.82
3.2456,4517,99,67.41
3.2631,4493,89,67.34
3.2806,4583,97,67.69
3.2982,4583,98,68.26
3.3156,4583,98,68.17
3.3331,4675,99,68.18
3.3505,4675,99,68.52
3.3679,4675,98,68.45
3.3851,4603,96,68.29
3.4028,4603,98,68.23
3.4201,4603,98,68.06
3.4376,4603,98,68.35
3.4549,4603,99,68.53
3.4724,4603,98,68.42
3.4899,4603,98,68.42
3.5075,4579,98,67.89
3.5248,4579,98,69.02
3.5422,4579,99,68.97
3.5597,4579,98,69.37
3.5770,4579,98,69.26
3.5946,4579,99,69.43
3.6119,4679,98,69.29
3.6296,4747,99,68.96
3.6470,4747,98,69.41
3.6646,4747,98,69.15
3.6820,4747,99,69.18
3.6996,4747,96,69.21
3.7169,4747,98,69.29
3.7345,4747,98,69.40
3.7518,4659,94,68.86
3.7693,4659,98,69.48
3.7867,4659,99,67.61
3.8041,4659,99,69.65
3.8217,4659,98,64.98
3.8392,4659,98,67.33
3.8566,4659,99,69.63
3.8740,4711,88,69.07
3.8914,4711,99,68.80
3.9093,4825,98,69.53
3.9269,4825,97,67.58
3.9444,4825,98,69.74
3.9617,4825,97,69.61
3.9792,4825,98,66.70
3.9969,4749,99,70.03
4.0143,4751,98,69.34
4.0318,4751,98,68.92
4.0492,4751,98,66.28
4.0668,4751,97,68.94
4.0842,4751,98,66.87
4.1015,4751,98,69.43
4.1192,4751,99,70.31
4.1367,4807,99,66.78
4.1541,4809,99,69.93
4.1718,4809,98,69.77
4.1893,4809,99,70.07
4.2069,4809,97,67.34
4.2243,4809,98,62.19
4.2418,4809,99,69.32
4.2594,4837,98,65.29
4.2768,4839,98,65.12
4.2943,4839,98,64.19
4.3118,4839,99,68.62
4.3293,4839,99,69.72
4.3468,4839,99,62.89
4.3643,4839,98,59.52
4.3820,4839,99,67.47
4.3993,4865,99,63.32
4.4167,4865,98,69.03
4.4342,4865,99,65.06
4.4517,4865,99,67.24
4.4693,4865,99,64.69
4.4868,4865,98,66.04
4.5044,4865,99,66.29
4.5219,5369,99,63.17
4.5393,4901,97,67.52
