Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0001,130,0,12.53
0.0174,130,0,12.42
0.0347,130,0,12.38
0.0520,973,8,12.59
0.0694,1863,8,12.92
0.0867,2799,8,12.96
0.1042,3709,7,13.00
0.1214,4599,9,12.95
0.1390,5535,12,12.99
0.1563,5889,8,12.69
0.1737,5889,8,12.75
0.1912,5889,11,12.76
0.2089,5888,8,12.77
0.2263,5888,8,13.05
0.2438,5888,10,10.95
0.2613,5888,10,12.83
0.2789,5890,100,17.26
0.2966,5891,100,24.29
0.3141,5891,100,26.11
0.3317,5891,100,26.41
0.3489,5891,100,26.41
0.3662,5891,100,26.43
0.3836,5891,100,26.53
0.4012,5891,100,26.62
0.4187,5891,100,26.59
0.4360,5891,100,26.60
0.4533,5891,100,26.66
0.4707,5891,100,26.71
0.4881,5891,100,26.76
0.5055,5891,100,26.80
0.5228,5891,100,26.87
0.5406,5891,100,26.87
0.5581,5891,100,26.92
0.5755,5891,100,26.95
0.5929,5891,100,27.03
0.6104,5891,100,27.06
0.6279,5891,100,27.08
0.6452,5891,100,27.11
0.6630,5891,100,27.13
0.6803,5891,100,27.13
0.6980,5891,100,27.14
0.7157,5891,100,27.21
0.7331,5891,100,27.19
0.7504,5891,100,27.30
0.7679,5891,100,27.27
0.7852,5891,100,27.38
0.8027,5891,100,27.41
0.8201,5891,100,27.42
0.8374,5891,100,27.45
0.8549,5891,100,27.47
0.8724,5891,100,27.57
0.8898,5891,100,27.54
0.9072,5891,100,27.57
0.9245,5891,100,27.62
0.9421,5891,100,27.69
0.9595,5891,100,27.69
0.9770,5891,100,27.76
0.9943,5891,100,27.78
1.0117,5891,100,27.75
1.0291,5891,100,27.79
1.0466,5891,100,27.85
1.0640,5891,100,27.85
1.0815,5891,100,27.80
1.0995,5891,100,27.95
1.1171,5891,100,27.92
1.1345,5891,100,27.82
1.1519,5891,100,27.83
1.1692,5891,100,27.83
1.1866,5891,100,27.87
1.2043,5891,100,27.92
1.2216,5891,100,27.93
1.2391,5891,100,27.92
1.2569,5891,100,27.89
1.2742,5891,100,27.90
1.2917,5891,100,27.96
1.3092,5891,100,27.94
1.3267,5891,100,27.94
1.3442,5891,100,27.98
1.3616,5891,100,28.03
1.3791,5891,100,28.03
1.3966,5891,100,28.05
1.4141,5891,100,28.03
1.4314,5891,100,28.03
1.4487,5891,100,28.09
1.4665,5891,100,28.09
1.4841,5891,100,28.12
1.5015,5891,100,28.12
1.5188,5891,100,28.17
1.5361,5891,100,28.20
1.5535,5891,100,28.22
1.5712,5891,100,28.20
1.5888,5891,100,28.18
1.6062,5891,100,28.24
1.6236,5891,100,28.21
1.6411,5891,100,28.27
1.6587,5891,100,28.26
1.6762,5891,100,28.11
1.6941,5891,100,26.96
1.7118,5891,100,34.16
1.7291,5891,100,35.04
1.7467,5891,100,27.80
1.7640,5891,100,33.99
1.7815,5891,99,34.93
1.7990,5891,100,29.24
1.8164,5891,100,35.73
1.8340,5891,100,32.84
1.8515,5891,100,29.27
1.8690,5891,100,34.12
1.8864,5891,100,31.17
1.9041,5891,100,28.05
1.9214,5891,100,34.81
1.9390,5897,99,34.53
1.9567,5897,100,27.38
1.9743,5897,100,35.43
1.9918,5899,100,28.44
2.0093,5899,100,35.24
2.0267,5899,100,36.12
2.0442,5899,100,30.35
2.0615,5899,100,35.92
2.0791,5899,100,33.47
2.0965,5899,99,35.58
2.1142,5899,100,28.33
2.1316,5899,100,28.05
2.1489,5899,100,28.36
2.1667,5899,100,28.37
2.1844,5899,100,28.34
2.2017,5899,100,28.27
2.2190,5899,100,28.29
2.2366,5899,100,28.30
2.2541,5899,100,28.42
2.2716,5899,100,28.41
2.2890,5899,100,28.41
2.3066,5899,100,28.43
2.3241,5899,100,28.42
2.3417,5899,100,28.46
2.3591,5899,100,28.49
2.3765,5899,100,28.51
2.3939,5899,100,28.49
2.4113,5899,100,28.49
2.4292,5899,100,28.43
2.4467,5899,100,28.49
2.4641,5899,100,28.44
2.4818,5899,100,28.46
2.4993,5899,100,28.46
2.5168,5899,100,28.45
2.5345,5899,100,28.39
2.5518,5899,100,28.40
2.5691,5899,100,28.45
2.5866,5899,100,28.43
2.6041,5899,100,28.41
2.6215,5899,100,28.41
2.6390,5899,100,28.46
2.6565,5899,100,28.48
2.6739,5899,100,28.48
2.6912,5899,100,28.43
2.7085,5899,100,28.54
2.7258,5899,100,28.47
2.7433,5899,100,28.48
2.7608,5899,100,28.45
2.7784,5899,100,28.46
2.7960,5899,100,28.46
2.8134,5899,100,28.47
2.8309,5899,100,28.43
2.8483,5899,100,28.40
2.8657,5899,100,28.38
2.8834,5899,100,28.37
2.9008,5899,100,28.44
2.9182,5899,100,28.43
2.9357,5899,100,28.42
2.9531,5899,100,28.43
2.9703,5899,100,28.47
2.9878,5899,100,28.47
3.0057,5899,100,28.48
3.0230,5899,100,28.45
3.0403,5899,100,28.42
3.0576,5899,100,28.45
3.0752,5899,100,28.51
3.0925,5899,100,28.47
3.1100,5899,100,28.45
3.1276,5899,100,28.46
3.1451,5899,100,28.48
3.1628,5899,100,28.45
3.1804,5899,100,28.44
3.1977,5899,100,28.45
3.2151,5899,100,28.47
3.2326,5899,100,28.44
3.2501,5899,100,28.40
3.2674,5899,100,28.39
3.2849,5899,100,28.37
3.3024,5899,100,28.29
3.3198,5899,100,28.24
3.3374,5899,100,28.42
3.3549,5899,100,35.61
3.3724,5899,98,35.37
3.3899,5899,100,28.70
3.4073,5899,100,34.93
3.4248,5899,100,33.94
3.4423,5899,100,30.87
3.4597,5899,100,34.00
3.4772,5899,100,31.95
3.4948,5899,100,32.58
3.5124,5899,100,35.76
3.5298,5899,99,35.70
3.5474,5899,100,28.65
3.5649,5899,100,35.70
3.5822,5899,100,33.05
3.5996,5899,100,31.38
3.6172,5899,100,34.28
3.6346,5899,100,31.75
3.6521,5899,100,32.27
3.6695,5899,100,33.99
3.6870,5899,100,33.21
3.7043,5899,100,31.98
3.7216,5899,100,34.11
3.7392,5899,100,35.82
3.7567,5899,100,28.69
3.7740,5899,100,36.17
3.7913,5899,100,32.73
3.8090,5899,100,33.34
3.8265,5899,100,35.59
3.8439,5899,100,28.66
3.8612,5899,100,35.40
3.8786,5899,99,35.90
3.8963,5899,100,35.28
3.9137,5899,100,28.76
3.9313,5899,100,33.21
3.9489,5899,99,35.84
3.9665,5899,100,28.60
3.9842,5899,100,35.45
4.0016,5899,100,32.87
4.0190,5899,100,30.96
4.0364,5899,100,34.54
4.0539,5899,100,28.97
4.0715,5899,100,28.87
4.0889,5899,100,35.16
4.1064,5899,100,35.78
4.1239,5899,100,29.67
4.1413,5899,100,34.86
4.1590,5899,100,32.06
4.1764,5899,100,33.76
4.1937,5899,100,34.88
4.2113,5899,99,34.03
4.2288,5899,100,30.37
4.2462,5899,100,28.77
4.2638,5899,100,34.93
4.2812,5899,100,34.44
4.2988,5899,100,31.17
4.3163,5899,100,36.04
4.3337,5899,100,33.95
4.3512,5899,100,30.09
4.3687,5899,99,36.31
4.3862,5899,100,28.62
4.4038,5899,100,29.11
4.4212,5899,100,29.09
4.4387,5899,100,29.09
4.4561,5899,100,29.12
4.4737,5899,100,29.12
4.4912,5899,100,29.07
4.5085,5899,100,29.06
4.5259,5899,100,29.07
4.5432,5899,100,29.06
4.5606,5899,100,29.06
4.5780,5899,100,29.04
4.5954,5899,100,29.00
4.6127,5899,100,29.07
4.6301,5899,100,29.01
