Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,274,0,8.43
0.0177,284,4,8.64
0.0351,284,8,9.68
0.0526,468,1,19.48
0.0700,488,0,36.28
0.0875,512,0,36.30
0.1049,516,1,36.34
0.1224,540,1,36.34
0.1398,564,0,36.38
0.1572,568,0,36.26
0.1747,592,2,12.13
0.1921,616,0,8.71
0.2096,620,0,8.68
0.2270,644,0,8.34
0.2445,668,2,8.38
0.2619,672,1,8.46
0.2794,696,0,8.44
0.2968,720,0,8.52
0.3143,724,3,8.77
0.3320,748,0,8.70
0.3494,772,0,8.66
0.3669,774,2,8.60
0.3843,798,0,8.63
0.4018,802,1,8.63
0.4192,826,1,8.69
0.4367,850,2,14.12
0.4541,854,0,36.31
0.4716,878,0,36.31
0.4890,902,1,14.56
0.5065,906,0,8.81
0.5239,930,0,8.51
0.5414,954,5,8.55
0.5588,958,1,8.72
0.5763,982,0,8.64
0.5937,1006,2,8.49
0.6112,1010,0,8.67
0.6286,1032,4,8.49
0.6461,1036,1,8.54
0.6635,1060,0,8.55
0.6809,1084,3,8.45
0.6984,1088,1,8.62
0.7158,1112,0,8.49
0.7333,1136,4,8.58
0.7507,1140,0,8.45
0.7682,1164,0,8.35
0.7856,1188,2,8.50
0.8031,1192,0,8.48
0.8205,1238,0,8.51
0.8380,1332,90,9.90
0.8554,1332,93,111.72
0.8729,1332,92,113.18
0.8903,1332,92,113.38
0.9078,1332,92,113.74
0.9252,1332,92,113.91
0.9427,1332,92,114.39
0.9601,1354,92,114.60
0.9776,1354,91,114.71
0.9950,1354,91,115.04
1.0125,1354,91,115.16
1.0299,1354,91,114.62
1.0474,1382,93,116.32
1.0648,1382,93,117.67
1.0822,1412,95,118.06
1.0997,1426,94,119.58
1.1171,1426,95,120.07
1.1346,1478,82,119.73
1.1520,1478,95,120.43
1.1695,1544,88,121.18
1.1869,1546,95,121.90
1.2044,1648,92,122.29
1.2218,1650,96,123.20
1.2393,1748,96,123.30
1.2567,1748,96,125.15
1.2742,1830,96,125.72
1.2916,1832,97,123.86
1.3091,1832,97,125.28
1.3265,1926,97,123.83
1.3440,1926,96,126.00
1.3614,2026,96,126.14
1.3789,2026,97,124.82
1.3963,2028,97,126.52
1.4138,2104,97,126.50
1.4312,2104,97,128.71
1.4487,2104,97,128.66
1.4661,2202,97,127.12
1.4836,2204,97,129.20
1.5010,2204,97,129.99
1.5184,2468,98,128.37
1.5359,2468,97,130.18
1.5533,2468,97,130.30
1.5708,2418,85,128.59
1.5882,2418,97,130.54
1.6057,2418,98,132.80
1.6231,2494,98,131.22
1.6406,2494,98,133.51
1.6580,2494,97,133.43
1.6755,2496,97,133.48
1.6929,2584,98,130.75
1.7104,2584,98,132.13
1.7278,2584,98,132.00
1.7453,2760,87,130.32
1.7627,2760,98,132.75
1.7802,2760,98,134.81
1.7976,2760,98,135.46
1.8151,2738,98,133.60
1.8325,2738,98,135.43
1.8500,2738,98,135.37
1.8674,2814,98,135.50
1.8849,2814,97,133.36
1.9023,2814,98,135.80
1.9197,2814,98,136.02
1.9372,3000,98,135.74
1.9546,3000,98,132.53
1.9721,3000,98,134.04
1.9895,3000,98,134.15
2.0070,3014,98,131.80
2.0244,3014,98,136.44
2.0419,3014,98,136.54
2.0593,3014,98,136.61
2.0768,3054,86,134.82
2.0942,3054,98,134.75
2.1117,3054,99,137.57
2.1291,3054,98,137.26
2.1466,3222,98,137.54
2.1640,3222,99,137.93
2.1815,3222,98,137.87
2.1989,3222,98,137.74
2.2164,3996,98,137.75
2.2338,3438,98,138.38
2.2513,3438,98,139.49
2.2687,3438,99,138.99
2.2862,3438,99,139.31
2.3036,2922,98,138.25
2.3211,2922,98,138.04
2.3385,2922,98,137.17
2.3559,2922,98,137.34
2.3734,2988,98,138.73
2.3908,2988,99,141.29
2.4083,2988,98,140.93
2.4257,3084,98,140.88
2.4432,3084,98,139.30
2.4606,3084,98,141.65
2.4781,3084,98,141.20
2.4955,3260,98,140.91
2.5130,3260,98,139.00
2.5304,3260,98,138.95
2.5479,3260,98,139.18
2.5653,3156,93,136.76
2.5828,3156,98,141.04
2.6002,3156,98,142.32
2.6177,3156,99,142.49
2.6351,3242,98,142.64
2.6526,3242,99,139.91
2.6700,3242,98,142.59
2.6875,3242,99,142.79
2.7049,3242,98,142.95
2.7224,3502,98,140.30
2.7398,3502,98,143.08
2.7572,3502,99,142.94
2.7747,3502,98,142.76
2.7921,3434,99,140.51
2.8096,3434,98,143.52
2.8270,3434,99,143.19
2.8445,3434,99,143.56
2.8619,3566,99,143.70
2.8794,3568,99,140.06
2.8968,3568,99,143.43
2.9143,3568,98,143.25
2.9317,3568,99,143.71
2.9492,3598,99,141.77
2.9666,3598,99,143.64
2.9841,3598,99,144.16
3.0015,3598,99,143.45
3.0190,3858,99,143.52
3.0364,3858,99,141.19
3.0539,3860,99,144.04
3.0713,3860,98,144.41
3.0888,3860,98,143.78
3.1062,3890,99,141.65
3.1237,3890,98,143.91
3.1411,3890,98,143.80
3.1586,3890,99,144.04
3.1760,3890,99,143.89
3.1934,3692,99,141.38
3.2109,3692,99,144.37
3.2283,3692,99,144.25
3.2458,3692,99,144.08
3.2632,3740,99,144.48
3.2807,3740,98,139.23
3.2981,3740,98,144.43
3.3156,3742,98,144.35
3.3330,3742,98,144.21
3.3505,4030,88,141.76
3.3679,4030,99,144.64
3.3854,4030,99,144.54
3.4028,4030,99,144.43
3.4202,4030,99,144.65
3.4377,4066,99,144.13
3.4551,4068,99,142.35
3.4726,4068,98,145.07
3.4900,4068,99,144.92
3.5075,4068,99,145.03
3.5249,3936,99,142.07
3.5424,3936,99,144.15
3.5598,3936,99,144.92
3.5773,3936,99,144.30
3.5947,3936,99,145.42
3.6122,3972,88,143.76
3.6296,3972,99,142.67
3.6471,3974,99,144.75
3.6645,3974,99,145.33
3.6820,3974,99,145.03
3.6994,4142,99,142.69
3.7169,4144,98,144.76
3.7343,4144,98,144.94
3.7517,4144,99,145.09
3.7692,4144,99,145.01
3.7866,2992,99,145.05
3.8041,3258,0,92.78
3.8215,3258,0,49.36
3.8390,3258,0,40.91
3.8564,3258,0,24.84
3.8739,3258,0,21.51
3.8913,3258,0,12.74
3.9088,3258,0,11.62
3.9262,3258,0,10.31
3.9437,3258,1,9.96
3.9611,4114,100,12.57
3.9786,4114,99,106.83
3.9960,4116,98,139.48
4.0135,4116,99,139.56
4.0309,4116,99,138.97
4.0484,4308,99,138.98
4.0658,4134,99,138.61
4.0833,4134,99,142.43
4.1007,4134,99,143.08
4.1182,4134,98,142.89
4.1356,4134,98,143.09
4.1531,4448,99,141.41
