Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,696,0,17.99
0.0173,696,0,18.00
0.0347,907,1,28.77
0.0522,961,1,45.62
0.0696,1037,0,45.60
0.0869,1089,1,45.71
0.1044,1145,0,45.73
0.1217,1199,0,45.64
0.1393,1251,0,45.62
0.1568,1306,5,22.59
0.1744,1368,33,20.81
0.1919,1424,1,40.93
0.2094,1484,2,45.90
0.2269,1574,96,88.08
0.2443,1574,96,124.32
0.2616,1573,96,124.64
0.2791,1575,94,123.70
0.2965,1571,95,123.74
0.3139,1571,96,124.65
0.3314,1570,96,126.89
0.3489,1570,95,126.97
0.3663,1570,95,127.50
0.3836,1570,95,127.51
0.4010,1570,95,127.24
0.4185,1570,95,124.82
0.4358,1598,95,128.28
0.4531,1598,96,127.84
0.4705,1608,96,128.12
0.4878,1634,96,129.53
0.5051,1634,96,128.83
0.5226,1668,96,129.60
0.5401,1668,96,131.16
0.5575,1712,96,130.81
0.5748,1734,96,131.22
0.5923,1734,97,131.29
0.6098,1758,93,131.39
0.6272,1758,96,131.96
0.6447,1790,97,132.25
0.6622,1790,97,133.56
0.6795,1810,97,132.47
0.6969,1810,97,132.93
0.7144,1840,97,132.83
0.7319,1840,97,134.45
0.7493,1874,97,133.79
0.7667,1874,97,133.96
0.7842,1896,97,134.14
0.8016,1896,97,135.69
0.8190,1906,97,135.03
0.8366,1906,97,135.88
0.8541,1944,97,136.18
0.8715,1944,97,137.51
0.8889,1956,97,137.41
0.9064,1956,97,138.05
0.9239,1966,97,137.93
0.9413,1966,97,138.75
0.9587,2008,97,138.21
0.9762,2008,97,138.95
0.9936,2000,98,138.14
1.0110,2000,97,138.54
1.0284,2018,98,138.03
1.0459,2018,97,139.00
1.0634,2056,97,139.76
1.0809,2058,98,139.45
1.0983,2058,96,140.17
1.1158,2080,97,139.90
1.1333,2080,97,140.71
1.1507,2090,97,139.74
1.1684,2090,97,139.62
1.1858,2112,91,139.15
1.2032,2112,98,140.97
1.2206,2112,98,141.52
1.2382,2162,98,140.85
1.2556,2162,98,138.99
1.2731,2036,97,139.25
1.2906,2036,97,142.21
1.3080,2046,97,141.91
1.3255,2046,97,141.32
1.3429,2052,97,140.98
1.3604,2052,97,143.21
1.3778,1992,95,142.75
1.3953,1992,97,143.08
1.4127,2054,98,143.53
1.4302,2054,98,142.43
1.4477,2052,97,142.95
1.4652,2054,97,143.39
1.4826,2058,94,143.03
1.5000,2058,97,143.39
1.5176,2096,98,143.57
1.5350,2098,97,143.43
1.5526,2098,98,143.70
1.5699,2232,98,143.86
1.5874,2232,98,144.51
1.6049,2106,98,143.26
1.6224,2106,97,144.24
1.6398,2114,97,144.39
1.6573,2114,98,146.20
1.6748,2174,97,145.34
1.6923,2174,98,145.03
1.7097,2178,95,144.95
1.7272,2178,98,146.07
1.7449,2178,97,147.17
1.7624,2166,98,145.25
1.7799,2166,98,145.71
1.7974,2168,97,144.87
1.8149,2168,98,145.77
1.8324,2180,98,145.97
1.8498,2180,97,148.15
1.8672,2190,92,146.59
1.8846,2190,97,145.39
1.9021,2190,97,146.55
1.9198,2272,98,146.73
1.9373,2272,98,148.47
1.9548,2218,98,147.26
1.9723,2218,97,148.09
1.9898,2128,68,130.87
2.0071,2124,0,73.17
2.0245,2282,97,84.39
2.0421,2282,96,147.51
2.0598,2158,96,147.21
2.0773,2236,97,146.34
2.0947,2236,97,148.23
2.1121,2224,97,148.30
