Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,957,0,7.99
0.0176,966,0,8.72
0.0351,972,0,8.89
0.0527,1297,3,27.27
0.0702,1469,3,37.24
0.0876,1643,2,37.22
0.1052,1814,2,37.26
0.1227,1992,0,37.99
0.1401,1988,94,86.64
0.1576,1988,95,113.56
0.1752,1988,96,114.14
0.1925,1988,94,114.46
0.2100,1983,96,114.43
0.2275,1983,94,115.29
0.2450,1983,94,115.29
0.2624,1983,94,115.47
0.2798,1983,94,116.06
0.2973,1983,94,116.39
0.3148,1983,94,116.86
0.3322,2043,93,115.65
0.3496,2041,93,116.82
0.3671,2045,94,116.16
0.3845,2077,94,117.17
0.4020,2077,94,116.91
0.4194,2083,95,117.07
0.4368,2085,93,119.34
0.4542,2099,94,118.58
0.4717,2099,94,120.74
0.4890,2125,94,120.35
0.5064,2159,93,121.33
0.5239,2159,94,122.00
0.5414,2175,95,120.66
0.5589,2175,95,122.49
0.5763,2193,94,121.93
0.5938,2193,94,123.27
0.6112,2225,94,122.17
0.6287,2225,95,124.40
0.6462,2265,95,123.61
0.6637,2265,94,124.62
0.6812,2281,96,123.82
0.6987,2281,95,125.59
0.7162,2291,95,124.53
0.7337,2291,95,126.41
0.7512,2313,95,124.96
0.7687,2313,96,125.40
0.7862,2347,95,125.10
0.8036,2347,96,125.54
0.8211,2355,95,125.90
0.8385,2355,96,126.96
0.8560,2377,95,125.44
0.8734,2377,96,128.46
0.8907,2393,95,126.41
0.9082,2393,96,128.14
0.9257,2503,96,127.38
0.9433,2503,96,129.30
0.9606,2449,96,129.39
0.9781,2451,97,127.08
0.9956,2451,96,128.31
1.0132,2467,96,127.55
1.0306,2467,96,128.89
1.0481,2495,96,128.05
1.0656,2495,97,130.99
1.0830,2529,96,129.53
1.1004,2529,97,131.31
1.1179,2529,97,130.67
1.1355,2539,96,130.27
1.1529,2539,96,130.72
1.1703,2565,85,130.38
1.1877,2565,98,130.51
1.2051,2565,97,131.01
1.2225,2433,96,131.59
1.2399,2433,94,131.12
1.2574,2449,96,129.08
1.2749,2449,95,130.78
1.2924,2449,96,131.49
1.3100,2473,96,131.46
1.3275,2473,96,133.16
1.3448,2455,85,132.30
1.3624,2455,96,130.69
1.3797,2455,96,131.95
1.3972,2475,97,131.20
1.4147,2475,97,133.99
1.4322,2525,97,133.86
1.4498,2525,97,134.25
1.4672,2525,96,134.06
1.4848,2503,96,133.31
1.5023,2503,96,134.52
1.5197,2545,97,132.53
1.5372,2545,97,134.17
1.5546,2545,96,133.46
1.5721,2617,96,132.04
1.5895,2617,96,132.64
1.6069,2627,96,133.86
1.6242,2627,96,135.00
1.6418,2627,96,133.73
1.6593,2601,97,130.91
1.6767,2601,97,132.59
1.6942,2741,96,134.40
1.7117,2663,97,132.48
1.7293,2663,96,133.22
1.7466,2751,97,133.83
1.7640,2751,96,134.43
1.7815,2751,97,135.74
1.7989,2687,92,133.37
1.8164,2687,97,135.73
1.8338,2687,96,135.65
1.8512,2701,98,132.83
1.8687,2701,96,134.61
1.8860,2675,97,135.60
1.9035,2675,97,136.10
1.9211,2675,97,135.96
1.9385,2745,97,136.30
1.9559,2745,96,135.18
1.9735,2745,97,135.91
1.9908,2707,97,134.84
2.0084,2707,96,136.46
2.0257,2707,97,133.32
2.0431,2803,97,134.74
2.0606,2803,97,135.77
2.0781,2803,98,135.09
2.0956,2513,62,109.60
2.1130,2526,0,56.01
2.1303,2526,0,44.79
2.1477,2804,0,31.51
2.1653,2811,97,75.41
2.1828,2811,97,135.07
2.2004,2813,96,133.24
2.2177,2813,98,133.73
2.2352,2813,97,136.10
2.2527,2845,89,135.84
2.2700,2837,97,134.37
2.2875,2837,97,136.40
2.3049,2803,88,135.64
2.3224,2803,96,135.54
2.3398,2803,97,136.81
2.3573,2961,98,136.46
2.3747,2961,97,136.24
2.3922,2961,97,134.78
2.4096,2873,98,135.50
2.4271,2873,98,136.69
2.4447,2873,97,136.66
2.4622,2883,91,136.02
2.4797,2883,97,136.01
2.4972,2883,97,136.23
2.5145,2863,98,137.79
2.5320,2863,97,135.26
2.5494,2863,97,136.06
2.5668,2889,97,135.48
2.5844,2889,97,136.41
2.6019,2889,98,137.41
2.6193,2875,98,136.76
2.6367,2875,98,135.07
2.6542,2875,97,137.99
2.6717,2911,98,137.67
2.6890,2911,98,135.05
2.7064,2911,98,139.60
2.7238,2911,97,138.41
2.7412,2767,98,136.59
2.7586,2767,97,138.79
2.7761,2767,97,137.58
2.7936,2789,98,137.09
2.8110,2789,97,134.95
2.8285,2789,97,137.31
2.8459,2825,97,137.28
2.8633,2827,97,136.06
2.8808,2827,97,138.14
2.8982,2827,98,138.24
2.9157,2667,98,137.65
2.9332,2667,98,136.77
2.9505,2667,94,136.33
2.9678,2861,97,136.54
2.9852,2861,98,139.35
3.0026,2861,98,137.41
3.0200,2867,98,136.21
3.0374,2867,97,138.90
3.0549,2867,97,138.21
3.0723,2867,94,138.70
3.0898,2867,97,134.23
3.1074,2867,98,136.36
3.1248,2861,98,135.83
3.1422,2861,98,138.57
3.1597,2861,97,138.68
3.1771,2865,97,138.98
3.1946,2865,98,138.61
3.2119,2865,97,137.59
3.2294,2865,97,138.29
3.2469,2849,97,136.51
3.2644,2849,97,137.26
3.2819,2849,96,138.65
3.2992,2905,98,136.98
3.3167,2905,97,139.25
3.3340,2905,97,138.79
3.3515,2927,98,137.99
3.3689,2927,96,136.32
3.3864,2927,97,137.15
3.4040,2889,97,136.34
3.4213,2889,97,133.66
3.4386,2889,97,138.02
3.4560,2889,97,135.36
3.4734,2893,98,137.46
3.4909,2893,98,137.82
3.5082,2893,97,136.12
3.5255,3027,97,135.45
3.5428,3027,98,137.49
3.5604,3027,98,136.99
3.5778,2905,98,137.60
3.5953,2905,97,137.08
3.6126,2905,97,137.94
3.6301,2905,97,137.48
3.6475,2953,97,138.18
3.6649,2953,97,139.53
3.6824,2953,98,140.03
3.7000,3061,97,136.04
3.7175,3061,97,136.85
3.7350,3061,98,136.69
3.7525,3015,98,136.80
3.7701,3015,98,136.00
3.7875,3015,97,138.32
3.8050,3015,97,139.18
3.8225,2959,98,136.62
3.8398,2959,98,137.02
3.8573,2959,98,137.23
3.8748,2979,98,137.32
3.8923,2979,98,137.68
3.9097,2979,97,139.77
3.9271,3103,98,140.57
3.9446,3103,97,137.77
3.9621,3103,98,139.49
3.9796,3103,98,140.16
3.9969,3053,98,136.49
4.0142,3053,97,138.47
4.0317,3053,97,138.68
4.0492,3187,98,139.11
4.0665,3187,96,137.26
4.0838,3190,91,137.55
4.1013,3187,94,137.03
4.1188,3031,96,135.88
4.1363,3031,98,137.16
4.1537,3031,97,136.70
4.1712,3057,97,136.86
4.1885,3057,97,136.73
4.2060,3057,98,138.44
4.2235,3057,98,137.99
4.2409,2943,98,136.47
4.2584,2943,97,138.40
4.2757,2943,97,137.39
4.2932,3061,98,136.20
4.3105,3061,97,136.45
4.3280,3061,97,138.66
4.3455,3061,97,134.70
4.3629,3075,0,104.02
4.3877,3075,98,112.62
4.4052,3075,97,135.54
4.4227,3087,97,136.80
4.4400,3090,97,139.45
4.4575,3090,97,139.71
4.4748,3090,98,138.40
4.4923,2898,98,139.13
4.5096,2898,97,139.52
4.5270,2898,97,139.95
4.5445,2898,97,138.28
4.5621,2932,97,138.65
4.5796,2932,96,137.92
4.5970,2932,98,138.26
4.6144,2932,98,137.18
4.6319,2926,96,138.21
4.6493,2926,96,140.49
4.6668,2926,98,141.05
4.6843,2970,98,138.70
4.7017,2970,98,137.92
4.7190,2970,98,138.54
4.7363,2970,98,140.41
4.7538,2946,97,137.85
4.7713,2946,97,136.64
4.7886,2946,98,137.86
4.8061,2894,98,136.41
4.8235,2894,97,136.68
4.8410,2894,98,137.98
4.8583,2894,98,137.66
4.8757,2948,98,136.67
4.8932,2948,98,139.59
4.9105,2948,97,138.49
4.9279,2992,98,139.80
4.9454,2992,97,139.59
4.9628,2992,97,139.65
4.9804,2992,98,139.64
4.9979,2948,97,139.19
5.0153,2948,98,137.70
5.0328,2948,97,140.98
5.0502,2780,92,138.60
5.0676,2781,0,81.29
5.0850,2784,0,52.49
5.1033,2784,0,34.64
5.1209,2904,0,26.72
