Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0001,23,0,16.60
0.0182,23,0,16.60
0.0360,23,0,16.59
0.0537,25,0,16.82
0.0708,332,1,26.32
0.0889,372,0,28.33
0.1070,412,0,28.38
0.1244,472,1,28.38
0.1418,512,1,28.40
0.1592,552,0,28.38
0.1767,592,1,28.41
0.1944,632,0,28.39
0.2118,672,0,28.40
0.2297,712,0,28.48
0.2474,752,1,28.46
0.2651,792,0,28.40
0.2832,852,0,28.49
0.3013,892,1,28.50
0.3187,932,0,28.45
0.3365,972,0,28.49
0.3546,1012,1,28.53
0.3721,1052,1,28.45
0.3895,1092,1,28.49
0.4069,1132,0,28.50
0.4244,1172,0,28.51
0.4422,1212,1,28.47
0.4599,1252,1,28.53
0.4776,1292,0,28.52
0.4950,1332,1,28.46
0.5125,1372,1,28.55
0.5298,1412,1,28.55
0.5473,1452,1,28.50
0.5647,1492,0,28.52
0.5828,1532,1,28.59
0.6009,1572,0,28.53
0.6183,1612,0,28.52
0.6360,1652,0,28.59
0.6535,1692,0,28.53
0.6712,1752,0,28.61
0.6893,1792,1,28.59
0.7073,1832,0,28.58
0.7247,1872,0,28.56
0.7424,1912,0,28.59
0.7599,1952,0,28.56
0.7773,1992,0,28.62
0.7950,2032,1,28.58
0.8130,2072,1,28.59
0.8307,2112,0,28.58
0.8484,2152,0,28.59
0.8660,2212,1,28.61
0.8841,2252,0,28.61
0.9015,2292,0,28.60
0.9195,2332,0,28.61
0.9369,2372,0,28.59
0.9550,2412,0,28.55
0.9724,2452,1,28.62
0.9901,2492,1,28.60
1.0078,2532,0,28.62
1.0253,2572,0,28.60
1.0427,2612,0,28.66
1.0601,2652,0,28.62
1.0775,2692,0,28.63
1.0949,2732,0,28.59
1.1130,2772,0,28.60
1.1307,2812,0,28.69
1.1484,2872,0,28.66
1.1661,2912,1,28.67
1.1835,2952,1,28.64
1.2009,2992,0,28.65
1.2190,3032,0,28.64
1.2364,3072,1,28.65
1.2546,3112,1,28.62
1.2720,3152,0,28.63
1.2898,3192,0,28.61
1.3076,3232,0,28.69
1.3250,3292,1,28.64
1.3430,3312,0,28.66
1.3605,3352,1,29.00
1.3776,3392,1,28.65
1.3953,3530,35,28.96
1.4131,3530,0,28.96
1.4305,4074,99,48.46
1.4486,4134,99,67.47
1.4660,4134,99,69.92
1.4834,4134,99,68.31
1.5011,4134,99,67.58
1.5186,4196,99,68.77
1.5366,4196,99,68.39
1.5540,4196,99,68.65
1.5715,4196,99,68.56
1.5892,4196,99,70.81
1.6070,4196,99,67.66
1.6247,4196,99,70.31
1.6428,4196,99,69.55
1.6605,4196,99,71.42
1.6779,4196,99,72.72
1.6960,4196,99,70.58
1.7140,4196,98,68.96
1.7315,4196,99,69.74
1.7492,4196,99,70.91
1.7669,4196,99,70.80
1.7843,4196,98,70.22
1.8017,4196,99,71.40
1.8191,4196,98,70.54
1.8365,4196,99,69.92
1.8546,4196,99,70.79
1.8720,4196,98,71.38
1.8895,4196,98,72.43
1.9068,4076,99,71.54
1.9242,4250,98,71.01
1.9424,4250,99,70.08
1.9601,4250,98,71.75
1.9775,4162,98,73.77
1.9952,4226,99,70.80
2.0126,4226,99,71.25
2.0308,4226,98,70.75
2.0482,4106,98,70.09
2.0656,4106,98,71.72
2.0838,4172,99,70.89
2.1011,4174,99,71.27
2.1185,4342,99,71.41
2.1359,4342,99,71.29
2.1536,4412,99,71.11
2.1710,4412,99,71.53
2.1891,4336,99,70.62
2.2072,4336,99,70.76
2.2250,4336,99,71.55
2.2431,4336,99,72.04
2.2611,4268,99,71.45
2.2786,4338,99,71.93
2.2960,4410,99,71.66
2.3134,4410,98,70.82
2.3308,4310,98,70.81
2.3482,4464,99,71.77
2.3656,4464,99,71.70
2.3830,4464,99,72.14
2.4004,4298,98,70.84
2.4178,4298,99,71.57
2.4353,4298,99,70.53
2.4526,4298,99,73.01
2.4700,4494,98,73.24
2.4874,4494,98,71.48
2.5055,4572,99,71.64
2.5229,4652,99,71.08
2.5403,4550,99,73.35
2.5578,4552,99,71.27
2.5752,4552,99,72.73
2.5927,4552,99,71.62
2.6100,4552,99,71.95
2.6274,4530,99,71.51
2.6449,4530,99,74.54
2.6623,4788,99,72.61
2.6797,4788,99,71.70
2.6971,4506,99,71.14
2.7145,4506,99,69.86
2.7320,4506,99,71.10
2.7494,4506,99,71.43
2.7668,4558,97,70.65
2.7843,4648,99,69.49
2.8017,4648,99,72.11
2.8192,4740,99,70.24
2.8366,4740,99,70.23
2.8540,4686,99,73.52
2.8714,4686,99,71.04
2.8888,4782,99,73.25
2.9066,4782,99,71.04
2.9243,4646,99,71.62
2.9418,4744,99,67.79
2.9596,4744,99,73.61
2.9770,4744,99,71.71
2.9947,4844,99,72.35
3.0121,4778,99,70.92
3.0299,4778,99,66.36
3.0474,4778,99,71.17
3.0648,4778,99,70.51
3.0822,4778,99,67.47
3.0996,4750,99,75.81
3.1171,4750,99,71.52
3.1344,4750,99,66.97
3.1518,4750,99,66.54
3.1696,4856,99,66.79
3.1871,4782,99,72.06
3.2048,4896,99,68.93
3.2223,4896,99,67.75
3.2397,4896,99,78.55
3.2571,4818,99,78.12
3.2745,4820,99,75.84
3.2920,4820,99,68.78
3.3095,4820,99,71.97
3.3268,4820,99,72.48
3.3442,4876,99,68.03
