Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,555,0,8.07
0.0179,555,0,8.45
0.0354,555,2,8.30
0.0529,542,0,8.30
0.0704,543,1,8.61
0.0879,747,0,16.19
0.1054,767,1,37.17
0.1229,772,0,37.15
0.1402,795,3,37.30
0.1578,835,0,37.15
0.1753,835,0,37.16
0.1927,856,3,36.60
0.2102,905,1,12.76
0.2277,905,0,10.67
0.2450,905,0,10.35
0.2624,922,8,9.97
0.2799,962,0,9.54
0.2974,952,13,9.66
0.3149,952,0,9.88
0.3323,953,2,8.77
0.3498,973,6,8.44
0.3671,993,0,8.69
0.3855,1013,6,8.47
0.4030,1053,0,8.69
0.4204,1070,7,8.90
0.4377,1090,0,8.53
0.4551,1130,0,8.77
0.4726,1130,0,8.55
0.4900,1170,0,8.38
0.5075,1192,0,8.67
0.5250,1232,0,8.38
0.5425,1255,3,10.25
0.5600,1255,10,10.15
0.5777,1275,0,9.41
0.5952,1295,5,9.05
0.6128,1295,1,10.26
0.6463,1294,21,9.62
0.6637,1299,8,10.89
0.7007,1301,0,8.22
0.7298,1300,0,7.80
0.7472,1295,0,8.20
0.7689,1296,8,9.99
0.8722,1316,7,9.60
0.8897,1344,13,11.14
0.9070,1384,6,9.51
0.9244,1428,18,10.92
0.9418,1428,1,10.09
0.9592,1447,1,8.98
0.9767,1442,4,8.69
0.9942,1482,0,20.53
1.0117,1646,2,37.06
1.0292,1569,0,37.50
1.0467,1568,0,37.08
1.0642,1587,5,16.56
1.0817,1601,4,10.67
1.0992,1641,0,10.15
1.1165,1681,0,8.69
1.1340,1721,0,8.82
1.1513,1721,0,8.50
1.1688,1721,0,7.96
1.1862,1721,0,7.89
1.2037,1721,0,7.86
1.2211,1741,0,7.95
1.2385,1781,0,8.73
1.2561,1821,0,8.68
1.2736,1841,0,8.59
1.2910,1861,2,8.50
1.3085,1881,0,8.63
1.3276,1881,0,8.53
1.3507,1881,0,7.86
1.3747,1881,0,7.83
1.3927,1901,0,7.90
1.4103,1941,6,8.42
1.4276,1981,0,8.49
1.4451,2001,0,8.52
1.4626,2001,0,8.48
1.4801,2001,0,7.96
1.4976,2001,0,7.82
1.5151,2021,0,7.83
1.5324,2041,0,8.49
1.5550,2041,0,8.37
1.5747,2061,0,8.13
1.5921,2081,0,8.55
1.6097,2081,0,8.44
1.6271,2121,0,8.32
1.6446,2161,6,8.69
1.6621,2181,0,8.62
1.6795,2181,0,8.52
1.6969,2201,0,8.01
1.7197,2201,0,8.41
1.7372,2201,0,7.95
1.7547,2201,0,7.89
1.7723,2261,0,8.31
1.7899,2301,0,8.56
1.8073,2341,0,8.64
1.8249,2361,0,8.37
1.8424,2361,0,8.30
1.8600,2361,0,7.88
1.8772,2361,0,7.86
1.8948,2361,0,7.86
1.9122,2381,0,8.05
1.9297,2381,0,8.40
1.9472,2381,0,8.09
1.9647,2401,0,8.18
1.9822,2401,0,8.24
1.9996,2441,4,8.66
2.0169,2461,0,8.55
2.0345,2461,0,8.49
2.0519,2481,0,8.24
2.0694,2481,0,8.65
2.0870,2501,0,8.62
2.1045,2541,0,8.40
2.1219,2581,0,8.57
2.1394,2601,0,8.55
2.1567,2641,6,8.51
2.1743,2661,0,8.64
2.1919,2681,0,8.64
2.2094,2701,0,8.54
2.2269,2741,5,8.50
2.2443,2781,6,8.49
2.2616,2801,4,8.39
2.2789,2841,0,8.42
2.2964,2881,6,8.46
2.3138,2921,6,8.57
2.3313,2981,5,8.64
2.3488,3001,6,8.67
2.3663,3001,0,8.46
2.3836,3021,4,8.28
2.4012,3061,0,8.73
2.4187,3101,0,8.61
2.4360,3141,0,8.58
2.4536,3181,0,8.53
2.4711,3221,0,8.51
2.4884,3261,5,8.58
2.5057,3281,0,8.59
2.5232,3321,5,8.61
2.5406,3341,0,8.53
2.5581,3381,4,8.69
2.5754,3401,6,8.55
2.5930,3441,6,8.63
2.6105,3481,0,8.50
2.6280,3479,0,8.54
2.6455,3519,0,8.37
2.6630,3518,0,8.52
2.6804,3538,0,8.42
2.6979,3578,0,8.19
2.7153,3598,0,8.62
2.7328,3618,0,8.45
2.7501,3618,0,8.35
2.7677,3618,0,7.94
2.7852,3658,0,8.28
2.8027,3698,0,8.68
2.8203,3698,0,8.49
2.8377,3698,0,7.99
2.8578,3698,0,7.90
2.8927,3698,0,7.85
2.9105,3738,4,8.05
2.9278,3758,0,8.65
2.9453,3798,0,8.61
2.9636,3798,0,8.41
2.9811,3798,0,7.95
2.9985,3798,0,7.89
3.0159,3798,0,8.01
3.0332,3838,0,8.63
3.0506,3858,6,8.57
