Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,23,0,16.55
0.0176,23,0,16.64
0.0353,23,0,16.59
0.0528,25,0,16.61
0.0700,328,0,27.08
0.0879,350,0,28.27
0.1057,370,0,28.25
0.1231,392,0,28.26
0.1408,414,0,28.30
0.1583,434,1,28.27
0.1759,456,0,28.32
0.1937,516,0,28.30
0.2114,516,0,28.25
0.2289,676,77,39.06
0.2464,676,74,55.46
0.2641,676,74,54.94
0.2815,676,73,54.30
0.2992,676,72,55.18
0.3170,698,72,53.06
0.3344,704,72,54.73
0.3519,740,74,54.28
0.3699,778,75,55.94
0.3873,762,77,56.40
0.4050,798,76,57.45
0.4225,814,80,59.37
0.4403,832,80,59.76
0.4580,842,78,59.51
0.4757,854,80,60.06
0.4935,880,80,62.09
0.5109,880,81,59.54
0.5284,908,81,60.26
0.5461,918,79,59.51
0.5639,928,81,63.05
0.5816,940,85,62.69
0.5993,940,84,61.41
0.6167,946,83,63.39
0.6341,950,83,63.33
0.6515,1006,84,62.99
0.6690,1006,86,62.34
0.6868,1068,84,63.96
0.7042,1010,84,63.13
0.7216,1010,86,62.17
0.7393,1022,85,63.50
0.7567,1042,85,64.29
0.7748,1042,86,63.76
0.7922,1104,84,64.13
0.8100,1116,87,61.29
0.8274,1116,88,61.74
0.8448,954,85,63.18
0.8622,928,85,62.11
0.8797,928,83,66.08
0.8975,906,84,64.03
0.9149,986,86,62.33
0.9323,1036,83,64.72
0.9500,1036,83,62.59
0.9674,978,86,64.55
0.9852,1006,86,63.14
1.0031,1006,86,65.20
1.0205,1008,86,66.83
1.0382,1080,86,64.76
1.0557,1080,84,66.65
1.0734,1026,86,67.66
1.0908,1036,85,66.49
1.1086,1036,87,66.51
1.1260,984,87,63.05
1.1435,984,86,64.67
1.1612,1048,88,65.28
1.1787,1108,86,67.32
1.1964,1108,85,67.23
1.2138,1116,85,66.08
1.2313,1102,87,67.51
1.2486,1102,88,68.14
1.2661,1170,88,64.68
1.2834,1170,89,67.48
1.3009,1160,88,66.61
1.3186,1166,86,66.55
1.3360,1166,87,64.50
1.3535,956,0,58.49
1.3709,956,0,33.12
1.3883,956,0,30.10
1.4067,1110,88,50.84
1.4242,1174,87,67.23
1.4416,1174,86,65.52
1.4591,1136,88,67.83
1.4766,1136,86,66.40
1.4943,1184,88,67.82
1.5118,1184,89,66.72
1.5296,1140,89,67.02
1.5471,1150,87,67.45
1.5645,1150,90,65.53
1.5823,1210,87,64.09
1.5998,1210,88,67.61
1.6176,1212,88,66.37
1.6351,1212,85,66.43
1.6525,1216,88,66.49
1.6700,1216,89,66.43
1.6874,1220,87,65.30
1.7048,1114,90,69.63
1.7223,1114,91,65.01
1.7404,1096,92,66.50
1.7578,1086,88,66.95
1.7755,1060,88,66.61
1.7929,1060,87,67.37
1.8103,1022,88,65.58
1.8278,1022,85,67.01
1.8455,1132,90,67.02
1.8629,1132,87,67.81
1.8804,1136,89,67.98
1.8978,1200,87,67.12
1.9152,1200,87,68.67
1.9326,1210,88,66.94
1.9504,1210,86,65.13
1.9679,1152,90,68.65
1.9853,1152,88,67.28
2.0026,1154,89,68.17
2.0201,1154,88,69.51
2.0375,1090,88,68.80
2.0550,1290,89,68.54
2.0724,1290,88,69.40
2.0899,1146,90,67.40
2.1077,1146,89,67.11
2.1251,1192,88,69.60
2.1426,1192,87,68.29
2.1600,1150,88,69.65
2.1774,1150,88,67.29
2.1948,1202,89,66.46
2.2122,1202,89,69.52
2.2297,1208,88,67.53
2.2471,1142,87,66.08
2.2645,1142,90,68.22
2.2819,1212,88,67.83
2.2993,1212,91,68.36
2.3167,1180,89,67.62
2.3342,1180,88,67.81
2.3516,1290,89,69.48
2.3691,1290,89,68.71
2.3865,1194,87,68.25
2.4040,1194,90,68.58
2.4221,1198,89,71.38
2.4395,1198,88,68.13
2.4569,1202,89,67.97
2.4743,1202,89,68.87
2.4921,1228,89,68.01
2.5095,1228,90,71.23
2.5270,1230,88,69.45
2.5444,1214,88,70.28
2.5621,1214,88,70.43
2.5795,1286,89,70.26
2.5970,1286,87,68.88
2.6145,1216,86,69.88
2.6319,1216,89,68.17
2.6501,1218,88,66.29
2.6674,1218,87,70.07
2.6849,1296,92,68.72
2.7024,1296,89,66.58
2.7198,1126,88,71.20
2.7373,1126,88,68.50
2.7547,1070,86,68.19
2.7725,1070,88,67.46
2.7899,1084,88,69.95
2.8074,1084,88,69.98
2.8249,1204,87,68.49
2.8423,1204,89,69.79
2.8598,1212,88,71.33
2.8772,1212,89,69.96
2.8947,1272,88,67.84
2.9121,1272,87,70.68
2.9296,1086,89,68.48
2.9470,1084,87,67.81
2.9645,1084,88,69.16
2.9819,1178,89,70.65
2.9995,1178,89,69.35
3.0173,1008,33,64.68
3.0347,1008,0,32.56
3.0523,1008,0,32.47
3.0704,1180,87,45.35
3.0878,1180,90,69.25
3.1053,1230,89,71.26
3.1227,1230,88,68.02
3.1404,1232,88,68.98
3.1579,1232,89,67.02
3.1754,1192,89,69.55
3.1931,1190,87,69.32
3.2106,1190,88,65.91
3.2280,1126,90,70.17
3.2458,1126,90,69.76
3.2632,1112,89,67.15
3.2810,1112,90,68.73
3.2984,1216,89,68.90
3.3165,1216,89,66.47
3.3340,1164,89,69.55
3.3515,1164,90,67.72
3.3690,1210,90,67.85
3.3864,1210,88,70.25
3.4038,1254,88,69.93
3.4212,1254,90,70.35
3.4387,1186,87,70.46
3.4562,1186,90,69.04
3.4736,1322,90,68.86
3.4911,1322,88,70.61
3.5086,1112,91,68.96
3.5260,1212,87,68.53
3.5435,1212,90,70.19
3.5609,1132,89,69.55
3.5790,1132,90,70.62
3.5965,1190,89,66.41
3.6139,1190,89,68.30
3.6313,1204,89,66.49
3.6488,1204,90,69.11
3.6665,1222,88,68.74
3.6844,1222,89,70.44
3.7018,1224,88,69.40
3.7192,1224,88,69.90
3.7367,1158,89,69.51
3.7544,1158,90,67.98
3.7719,1108,89,68.09
3.7896,1108,89,70.47
3.8071,1070,89,67.67
3.8249,1070,89,67.86
3.8423,1208,89,69.01
3.8597,1208,88,70.95
3.8772,1072,88,70.49
3.8947,1072,88,66.93
3.9121,1136,88,68.75
3.9296,1136,91,69.77
3.9470,1126,89,69.47
3.9645,1194,87,68.20
3.9823,1194,88,68.94
3.9997,1090,88,69.98
4.0171,1090,91,68.28
4.0346,1120,89,67.53
4.0520,1120,91,68.53
4.0695,1120,88,69.87
4.0869,1120,89,71.84
4.1043,1102,86,69.21
4.1218,1102,90,69.54
4.1392,1170,90,71.00
4.1570,1170,86,68.85
4.1744,1184,88,70.53
4.1921,1184,90,69.38
4.2096,1164,87,71.07
4.2274,1164,89,68.53
4.2448,1160,89,67.66
4.2622,1160,89,68.01
4.2797,1226,87,69.93
4.2972,1160,87,68.58
4.3146,1160,88,69.98
4.3320,1230,90,70.10
4.3495,1230,89,68.80
4.3669,1156,88,69.51
4.3844,1156,89,68.64
4.4018,1122,88,68.68
4.4195,1122,89,68.30
4.4371,1156,90,69.92
4.4548,1156,91,69.28
4.4722,1188,88,69.82
4.4899,1188,90,69.32
4.5080,1176,89,69.00
4.5254,1176,88,68.19
4.5428,1184,88,69.10
4.5603,1258,87,68.42
4.5781,1258,89,67.69
4.5955,1188,90,70.60
4.6133,1188,88,69.08
4.6311,1176,89,67.76
4.6486,1176,89,67.58
4.6661,1206,89,70.36
4.6839,1206,90,69.55
4.7017,1274,89,68.65
4.7195,1274,88,68.55
4.7372,980,0,52.13
4.7547,980,0,34.81
4.7724,980,0,31.64
4.7912,1132,88,52.36
4.8086,1132,88,69.67
4.8264,1132,90,68.64
4.8442,1132,89,68.15
4.8620,1132,88,70.31
4.8794,1132,90,68.03
4.8969,1132,89,68.43
4.9147,1132,91,70.11
4.9324,1132,90,69.00
4.9499,1132,91,68.91
4.9677,1132,89,68.96
4.9852,1132,86,67.24
5.0027,1132,91,68.08
5.0205,1132,88,69.97
