Time_Minutes,Memory_Used_MiB,GPU_Utilization_Pct,Power_Watts
0.0000,127,0,13.61
0.0176,127,0,13.60
0.0349,127,0,13.63
0.0522,475,2,13.76
0.0697,715,3,13.76
0.0870,975,3,13.77
0.1044,1235,3,13.79
0.1217,1475,3,13.84
0.1389,1735,3,13.84
0.1565,1995,3,13.82
0.1739,2235,3,13.82
0.1913,2495,3,13.83
0.2086,2755,3,13.84
0.2262,2999,25,14.14
0.2437,3321,98,19.93
0.2613,3433,98,54.94
0.2788,3433,98,57.64
0.2962,3433,98,57.55
0.3135,3433,99,57.72
0.3309,3433,98,57.92
0.3483,3433,98,58.19
0.3658,3433,97,58.24
0.3832,3433,98,58.47
0.4006,3433,98,58.79
0.4182,3433,98,58.58
0.4358,3433,98,58.81
0.4532,3433,99,58.78
0.4707,3433,98,59.34
0.4882,3433,98,59.44
0.5056,3433,98,59.69
0.5230,3433,96,59.15
0.5404,3433,97,59.60
0.5580,3433,97,59.94
0.5755,3433,98,60.12
0.5929,3433,98,60.10
0.6102,3433,97,60.23
0.6276,3433,97,60.64
0.6451,3433,98,60.54
0.6628,3433,97,61.00
0.6802,3433,99,60.95
0.6977,3433,98,60.96
0.7151,3433,96,60.96
0.7325,3433,97,61.14
0.7499,3433,98,61.50
0.7676,3433,97,61.50
0.7851,3433,98,61.59
0.8026,3433,97,61.48
0.8199,3433,98,61.85
0.8373,3433,98,62.25
0.8548,3433,97,61.86
0.8722,3433,99,61.94
0.8897,3433,96,62.12
0.9072,3433,97,61.88
0.9245,3433,98,62.10
0.9423,3433,98,62.33
0.9596,3433,99,62.45
0.9771,3429,96,61.51
0.9945,3483,99,62.70
1.0119,3483,97,63.18
1.0293,3483,99,62.97
1.0468,3483,99,62.92
1.0642,3483,99,63.11
1.0816,3523,95,62.95
1.0990,3523,97,63.47
1.1165,3523,97,63.62
1.1338,3523,97,63.77
1.1511,3523,97,63.90
1.1685,3397,98,63.68
1.1858,3445,97,64.07
1.2033,3501,98,64.21
1.2207,3501,99,64.10
1.2380,3501,97,64.15
1.2555,3501,97,64.49
1.2730,3389,97,64.16
1.2905,3389,98,65.01
