timestamp, memory.used [MiB]
2026/03/11 01:05:28.453, 618 MiB
2026/03/11 01:05:29.459, 616 MiB
2026/03/11 01:05:30.464, 616 MiB
2026/03/11 01:05:31.468, 1279 MiB
2026/03/11 01:05:32.474, 1907 MiB
2026/03/11 01:05:33.479, 2547 MiB
2026/03/11 01:05:34.482, 3206 MiB
2026/03/11 01:05:35.494, 3529 MiB
2026/03/11 01:05:36.496, 3811 MiB
2026/03/11 01:05:37.500, 3811 MiB
2026/03/11 01:05:38.507, 3815 MiB
2026/03/11 01:05:39.513, 3865 MiB
2026/03/11 01:05:40.518, 3863 MiB
2026/03/11 01:05:41.523, 3863 MiB
2026/03/11 01:05:42.530, 3863 MiB
2026/03/11 01:05:43.537, 3862 MiB
2026/03/11 01:05:44.538, 3861 MiB
2026/03/11 01:05:45.543, 3856 MiB
2026/03/11 01:05:46.553, 3856 MiB
2026/03/11 01:05:47.556, 3856 MiB
2026/03/11 01:05:48.558, 3856 MiB
2026/03/11 01:05:49.559, 3856 MiB
2026/03/11 01:05:50.567, 3856 MiB
2026/03/11 01:05:51.575, 3858 MiB
2026/03/11 01:05:52.582, 3859 MiB
2026/03/11 01:05:53.583, 3859 MiB
2026/03/11 01:05:54.588, 3859 MiB
2026/03/11 01:05:55.589, 3859 MiB
2026/03/11 01:05:56.602, 3859 MiB
2026/03/11 01:05:57.603, 3859 MiB
2026/03/11 01:05:58.607, 3857 MiB
2026/03/11 01:05:59.614, 3853 MiB
2026/03/11 01:06:00.618, 3852 MiB
2026/03/11 01:06:01.624, 3859 MiB
2026/03/11 01:06:02.627, 3866 MiB
2026/03/11 01:06:03.630, 3863 MiB
2026/03/11 01:06:04.633, 3860 MiB
2026/03/11 01:06:05.638, 3860 MiB
2026/03/11 01:06:06.652, 3860 MiB
2026/03/11 01:06:07.657, 3858 MiB
2026/03/11 01:06:08.659, 3841 MiB
2026/03/11 01:06:09.662, 604 MiB
